     113
     103
   10321  K0*1430(+)            1.41200   0.29400  1  0  1  0  0  2  1  2
  -10321  K0*1430(-)            1.41200   0.29400  1  0 -1  0  0  2 -1  2
   10311  K0*1430(0)            1.41200   0.29400  1  0  1  0  0  2  0  2
  -10311  Anti-K0*1430(0)       1.41200   0.29400  1  0 -1  0  0  2  0  2
  100223  omega1420              1.41900   0.17400  3  0  0  0  0  1  0  3
   20333  f1-1420                 1.42630   0.05490  3  0  0  0  0  1  0  4
     325  K2*1430(+)            1.42560   0.09850  5  0  1  0  0  2  1 10
    -325  K2*1430(-)            1.42560   0.09850  5  0 -1  0  0  2 -1 10
     315  K2*1430(0)            1.43240   0.10900  5  0  1  0  0  2  0 10
    -315  Anti-K2*1430(0)       1.43240   0.10900  5  0 -1  0  0  2  0 10
   12212  p-1440                  1.44000   0.35000  2  1  0  0  0  2  1  7
   12112  n-1440                  1.44000   0.35000  2  1  0  0  0  2  0  7
  100213  rho1450(+)           1.46500   0.40000  3  0  0  0  0  3  1  1
  100113  rho1450(0)           1.46500   0.40000  3  0  0  0  0  3  0  1
 -100213  rho1450(-)           1.46500   0.40000  3  0  0  0  0  3 -1  1
   10211  a0-1450(+)             1.47400   0.26500  1  0  0  0  0  3  1  4
   10111  a0-1450(0)             1.47400   0.26500  1  0  0  0  0  3  0  6
  -10211  a0-1450(-)             1.47400   0.26500  1  0  0  0  0  3 -1  4
  100331  eta-1475                1.47600   0.08700  1  0  0  0  0  1  0  8
 930221  f0-1500                 1.50700   0.1090  1  0  0  0  0  1  0  9
    3124  Lambda1520             1.51950   0.01560  4  1 -1  0  0  1  0 11
    2124  p-1520                  1.52000   0.11500  4  1  0  0  0  2  1  9
    1214  n-1520                  1.52000   0.11500  4  1  0  0  0  2  0  9
     335  f2prime1525           1.52500   0.07300  5  0  0  0  0  1  0  5
    3324  Xsi(0)1530            1.53180   0.00910  4  1 -2  0  0  2  0  2
    3314  Xsi(-)1530            1.53500   0.00990  4  1 -2  0  0  2 -1  2
   22212  p-1535                  1.53500   0.15000  2  1  0  0  0  2  1  9
   22112  n-1535                  1.53500   0.15000  2  1  0  0  0  2  0  9
   32224  Delta1600(++)         1.60000   0.35000  4  1  0  0  0  4  2  5
   32214  Delta1600(+)          1.60000   0.35000  4  1  0  0  0  4  1  9
   32114  Delta1600(0)          1.60000   0.35000  4  1  0  0  0  4  0  9
   31114  Delta1600(-)          1.60000   0.35000  4  1  0  0  0  4 -1  5
   23122  Lambda1600             1.60000   0.15000  2  1 -1  0  0  1  0  5
   10225  eta2-1645               1.61700   0.18100  5  0  0  0  0  1  0 10
    2222  Delta1620(++)         1.63000   0.14500  2  1  0  0  0  4  2  4
    2122  Delta1620(+)          1.63000   0.14500  2  1  0  0  0  4  1  7
    1212  Delta1620(0)          1.63000   0.14500  2  1  0  0  0  4  0  7
    1112  Delta1620(-)          1.63000   0.14500  2  1  0  0  0  4 -1  4
 910213  Pion1-1600(+)          1.65300   0.22500  3  0  0  0  0  3  1  2
 910113  Pion1-1600(0)          1.65300   0.22500  3  0  0  0  0  3  0  2
-910213  Pion1-1600(-)          1.65300   0.22500  3  0  0  0  0  3 -1  2
   32212  p-1650                  1.65500   0.16500  2  1  0  0  0  2  1  9
   32112  n-1650                  1.65500   0.16500  2  1  0  0  0  2  0  9
   13222  Sigma(+)1660          1.66000   0.10000  2  1 -1  0  0  3  1  4
   13212  Sigma(0)1660          1.66000   0.10000  2  1 -1  0  0  3  0  5
   13112  Sigma(-)1660          1.66000   0.10000  2  1 -1  0  0  3 -1  4
   30223  omega1650              1.67000   0.31500  3  0  0  0  0  1  0  5
     227  omega3-1670             1.66700   0.16800  7  0  0  0  0  1  0  5
   33122  Lambda-1670             1.67000   0.03500  2  1 -1  0  0  1  0  6
   13224  Sigma(+)1670          1.67000   0.06000  4  1 -1  0  0  3  1  4
   13214  Sigma(0)1670          1.67000   0.06000  4  1 -1  0  0  3  0  5
   13114  Sigma(-)1670          1.67000   0.06000  4  1 -1  0  0  3 -1  4
   10215  Pion2-1670(+)         1.67240   0.25900  5  0  0  0  0  3  1  6
   10115  Pion2-1670(0)         1.67240   0.25900  5  0  0  0  0  3  0  8
  -10215  Pion2-1670(-)         1.67240   0.25900  5  0  0  0  0  3 -1  6
    3334  Omega                   1.67243   0.00000  4  1 -3  0  0  1 -1  1
    2216  p-1675                  1.67500   0.15000  6  1  0  0  0  2  1  6
    2116  n-1675                  1.67500   0.15000  6  1  0  0  0  2  0  6
  100333  phi-1680                1.68000   0.15000  3  0  0  0  0  1  0  4
   12216  p-1680                  1.68500   0.13000  6  1  0  0  0  2  1  9
   12116  n-1680                  1.68500   0.13000  6  1  0  0  0  2  0  9
     217  rho3-1690(+)           1.68880   0.16100  7  0  0  0  0  3  1  7
     117  rho3-1690(0)           1.68880   0.16100  7  0  0  0  0  3  0  9
    -217  rho3-1690(-)           1.68880   0.16100  7  0  0  0  0  3 -1  7
   13124  Lambda-1690             1.69000   0.06000  4  1 -1  0  0  1  0 10
   13322  Xsi(0)1690            1.69000   0.02500  2  1 -2  0  0  2  0  3
   13312  Xsi(-)1690            1.69000   0.02500  2  1 -2  0  0  2 -1  3
   22124  p-1700                  1.70000   0.10000  4  1  0  0  0  2  1  9
   21214  n-1700                  1.70000   0.10000  4  1  0  0  0  2  0  9
