101
81
T [GeV]		muB [GeV]		F_over_T [fm^-1 / GeV]
0.171000		0.010000		-0.145227
0.172000		0.010000		-0.145000
0.173000		0.010000		-0.144784
0.174000		0.010000		-0.144581
0.175000		0.010000		-0.144389
0.176000		0.010000		-0.144208
0.177000		0.010000		-0.144039
0.178000		0.010000		-0.143880
0.179000		0.010000		-0.143732
0.180000		0.010000		-0.143594
0.181000		0.010000		-0.143467
0.182000		0.010000		-0.143349
0.183000		0.010000		-0.143241
0.184000		0.010000		-0.143142
0.185000		0.010000		-0.143052
0.186000		0.010000		-0.142971
0.187000		0.010000		-0.142899
0.188000		0.010000		-0.142835
0.189000		0.010000		-0.142780
0.190000		0.010000		-0.142732
0.191000		0.010000		-0.142693
0.192000		0.010000		-0.142661
0.193000		0.010000		-0.142636
0.194000		0.010000		-0.142619
0.195000		0.010000		-0.142609
0.196000		0.010000		-0.142606
0.197000		0.010000		-0.142609
0.198000		0.010000		-0.142619
0.199000		0.010000		-0.142636
0.200000		0.010000		-0.142659
0.100000		0.020000		-0.207419
0.101000		0.020000		-0.205992
0.102000		0.020000		-0.204562
0.103000		0.020000		-0.203132
0.104000		0.020000		-0.201704
0.105000		0.020000		-0.200278
0.106000		0.020000		-0.198857
0.107000		0.020000		-0.197441
0.108000		0.020000		-0.196034
0.109000		0.020000		-0.194635
0.110000		0.020000		-0.193247
0.111000		0.020000		-0.191870
0.112000		0.020000		-0.190506
0.113000		0.020000		-0.189155
0.114000		0.020000		-0.187820
0.115000		0.020000		-0.186499
0.116000		0.020000		-0.185196
0.117000		0.020000		-0.183910
0.118000		0.020000		-0.182642
0.119000		0.020000		-0.181393
0.120000		0.020000		-0.180163
0.121000		0.020000		-0.178954
0.122000		0.020000		-0.177765
0.123000		0.020000		-0.176597
0.124000		0.020000		-0.175451
0.125000		0.020000		-0.174326
0.126000		0.020000		-0.173223
0.127000		0.020000		-0.172143
0.128000		0.020000		-0.171085
0.129000		0.020000		-0.170050
0.130000		0.020000		-0.169037
0.131000		0.020000		-0.168048
0.132000		0.020000		-0.167081
0.133000		0.020000		-0.166137
0.134000		0.020000		-0.165217
0.135000		0.020000		-0.164319
0.136000		0.020000		-0.163444
0.137000		0.020000		-0.162591
0.138000		0.020000		-0.161761
0.139000		0.020000		-0.160954
0.140000		0.020000		-0.160168
0.141000		0.020000		-0.159405
0.142000		0.020000		-0.158663
0.143000		0.020000		-0.157943
0.144000		0.020000		-0.157244
0.145000		0.020000		-0.156566
0.146000		0.020000		-0.155909
0.147000		0.020000		-0.155273
0.148000		0.020000		-0.154656
0.149000		0.020000		-0.154060
0.150000		0.020000		-0.153483
0.151000		0.020000		-0.152925
0.152000		0.020000		-0.152386
0.153000		0.020000		-0.151866
0.154000		0.020000		-0.151364
0.155000		0.020000		-0.150881
0.156000		0.020000		-0.150414
0.157000		0.020000		-0.149965
0.158000		0.020000		-0.149533
0.159000		0.020000		-0.149118
0.160000		0.020000		-0.148719
0.161000		0.020000		-0.148336
0.162000		0.020000		-0.147968
0.163000		0.020000		-0.147616
0.164000		0.020000		-0.147279
0.165000		0.020000		-0.146956
0.166000		0.020000		-0.146648
0.167000		0.020000		-0.146353
0.168000		0.020000		-0.146073
0.169000		0.020000		-0.145806
0.170000		0.020000		-0.145552
0.171000		0.020000		-0.145311
0.172000		0.020000		-0.145082
0.173000		0.020000		-0.144866
0.174000		0.020000		-0.144661
0.175000		0.020000		-0.144468
0.176000		0.020000		-0.144287
0.177000		0.020000		-0.144116
0.178000		0.020000		-0.143957
0.179000		0.020000		-0.143808
0.180000		0.020000		-0.143669
0.181000		0.020000		-0.143541
0.182000		0.020000		-0.143422
0.183000		0.020000		-0.143313
0.184000		0.020000		-0.143213
0.185000		0.020000		-0.143123
0.186000		0.020000		-0.143041
0.187000		0.020000		-0.142968
0.188000		0.020000		-0.142904
0.189000		0.020000		-0.142848
0.190000		0.020000		-0.142799
0.191000		0.020000		-0.142759
0.192000		0.020000		-0.142726
0.193000		0.020000		-0.142701
0.194000		0.020000		-0.142683
0.195000		0.020000		-0.142673
0.196000		0.020000		-0.142669
0.197000		0.020000		-0.142672
0.198000		0.020000		-0.142681
0.199000		0.020000		-0.142697
0.200000		0.020000		-0.142719
0.100000		0.030000		-0.207594
0.101000		0.030000		-0.206170
0.102000		0.030000		-0.204745
0.103000		0.030000		-0.203319
0.104000		0.030000		-0.201894
0.105000		0.030000		-0.200471
0.106000		0.030000		-0.199053
0.107000		0.030000		-0.197641
0.108000		0.030000		-0.196237
0.109000		0.030000		-0.194841
0.110000		0.030000		-0.193454
0.111000		0.030000		-0.192080
0.112000		0.030000		-0.190717
0.113000		0.030000		-0.189368
0.114000		0.030000		-0.188034
0.115000		0.030000		-0.186715
0.116000		0.030000		-0.185413
0.117000		0.030000		-0.184128
0.118000		0.030000		-0.182860
0.119000		0.030000		-0.181612
0.120000		0.030000		-0.180383
0.121000		0.030000		-0.179173
0.122000		0.030000		-0.177984
0.123000		0.030000		-0.176816
0.124000		0.030000		-0.175669
0.125000		0.030000		-0.174544
0.126000		0.030000		-0.173440
0.127000		0.030000		-0.172359
0.128000		0.030000		-0.171300
0.129000		0.030000		-0.170264
0.130000		0.030000		-0.169251
0.131000		0.030000		-0.168260
0.132000		0.030000		-0.167292
0.133000		0.030000		-0.166347
0.134000		0.030000		-0.165424
0.135000		0.030000		-0.164525
0.136000		0.030000		-0.163648
0.137000		0.030000		-0.162794
0.138000		0.030000		-0.161962
0.139000		0.030000		-0.161153
0.140000		0.030000		-0.160366
0.141000		0.030000		-0.159600
0.142000		0.030000		-0.158857
0.143000		0.030000		-0.158134
0.144000		0.030000		-0.157434
0.145000		0.030000		-0.156754
0.146000		0.030000		-0.156095
0.147000		0.030000		-0.155456
0.148000		0.030000		-0.154838
0.149000		0.030000		-0.154239
0.150000		0.030000		-0.153660
0.151000		0.030000		-0.153100
0.152000		0.030000		-0.152560
0.153000		0.030000		-0.152037
0.154000		0.030000		-0.151534
0.155000		0.030000		-0.151048
0.156000		0.030000		-0.150579
0.157000		0.030000		-0.150128
0.158000		0.030000		-0.149694
