101
81
T [GeV]		muB [GeV]		betapi_over_T4 [fm^-4 / GeV^4]
0.108000		0.020000		33.228050
0.109000		0.020000		33.756054
0.110000		0.020000		34.295652
0.111000		0.020000		34.847238
0.112000		0.020000		35.411214
0.113000		0.020000		35.987982
0.114000		0.020000		36.577956
0.115000		0.020000		37.181550
0.116000		0.020000		37.799188
0.117000		0.020000		38.431296
0.118000		0.020000		39.078309
0.119000		0.020000		39.740664
0.120000		0.020000		40.418808
0.121000		0.020000		41.113191
0.122000		0.020000		41.824268
0.123000		0.020000		42.552502
0.124000		0.020000		43.298361
0.125000		0.020000		44.062318
0.126000		0.020000		44.844852
0.127000		0.020000		45.646447
0.128000		0.020000		46.467593
0.129000		0.020000		47.308787
0.130000		0.020000		48.170527
0.131000		0.020000		49.053322
0.132000		0.020000		49.957681
0.133000		0.020000		50.884122
0.134000		0.020000		51.833165
0.135000		0.020000		52.805338
0.136000		0.020000		53.801170
0.137000		0.020000		54.821198
0.138000		0.020000		55.865962
0.139000		0.020000		56.936006
0.140000		0.020000		58.031880
0.141000		0.020000		59.154135
0.142000		0.020000		60.303329
0.143000		0.020000		61.480023
0.144000		0.020000		62.684779
0.145000		0.020000		63.918167
0.146000		0.020000		65.180756
0.147000		0.020000		66.473121
0.148000		0.020000		67.795837
0.149000		0.020000		69.149485
0.150000		0.020000		70.534647
0.151000		0.020000		71.951905
0.152000		0.020000		73.401847
0.153000		0.020000		74.885060
0.154000		0.020000		76.402134
0.155000		0.020000		77.953661
0.156000		0.020000		79.540233
0.157000		0.020000		81.162443
0.158000		0.020000		82.820885
0.159000		0.020000		84.516155
0.160000		0.020000		86.248847
0.161000		0.020000		88.019558
0.162000		0.020000		89.828882
0.163000		0.020000		91.677415
0.164000		0.020000		93.565752
0.165000		0.020000		95.494486
0.166000		0.020000		97.464210
0.167000		0.020000		99.475517
0.168000		0.020000		101.528997
0.169000		0.020000		103.625239
0.170000		0.020000		105.764830
0.171000		0.020000		107.948355
0.172000		0.020000		110.176399
0.173000		0.020000		112.449540
0.174000		0.020000		114.768358
0.175000		0.020000		117.133427
0.176000		0.020000		119.545319
0.177000		0.020000		122.004605
0.178000		0.020000		124.511848
0.179000		0.020000		127.067612
0.180000		0.020000		129.672454
0.181000		0.020000		132.326928
0.182000		0.020000		135.031584
0.183000		0.020000		137.786969
0.184000		0.020000		140.593622
0.185000		0.020000		143.452081
0.186000		0.020000		146.362877
0.187000		0.020000		149.326536
0.188000		0.020000		152.343579
0.189000		0.020000		155.414523
0.190000		0.020000		158.539878
0.191000		0.020000		161.720148
0.192000		0.020000		164.955832
0.193000		0.020000		168.247423
0.194000		0.020000		171.595407
0.195000		0.020000		175.000266
0.196000		0.020000		178.462474
0.197000		0.020000		181.982497
0.198000		0.020000		185.560797
0.199000		0.020000		189.197828
0.200000		0.020000		192.894037
0.100000		0.030000		29.383904
0.101000		0.030000		29.833349
0.102000		0.030000		30.291452
0.103000		0.030000		30.758568
0.104000		0.030000		31.235058
0.105000		0.030000		31.721286
0.106000		0.030000		32.217622
0.107000		0.030000		32.724441
0.108000		0.030000		33.242122
0.109000		0.030000		33.771050
0.110000		0.030000		34.311616
0.111000		0.030000		34.864215
0.112000		0.030000		35.429248
0.113000		0.030000		36.007122
0.114000		0.030000		36.598247
0.115000		0.030000		37.203043
0.116000		0.030000		37.821931
0.117000		0.030000		38.455342
0.118000		0.030000		39.103708
0.119000		0.030000		39.767471
0.120000		0.030000		40.447077
0.121000		0.030000		41.142977
0.122000		0.030000		41.855628
0.123000		0.030000		42.585493
0.124000		0.030000		43.333042
0.125000		0.030000		44.098748
0.126000		0.030000		44.883091
0.127000		0.030000		45.686558
0.128000		0.030000		46.509638
0.129000		0.030000		47.352829
0.130000		0.030000		48.216632
0.131000		0.030000		49.101554
0.132000		0.030000		50.008108
0.133000		0.030000		50.936810
0.134000		0.030000		51.888183
0.135000		0.030000		52.862754
0.136000		0.030000		53.861055
0.137000		0.030000		54.883623
0.138000		0.030000		55.930998
0.139000		0.030000		57.003726
0.140000		0.030000		58.102357
0.141000		0.030000		59.227443
0.142000		0.030000		60.379543
0.143000		0.030000		61.559218
0.144000		0.030000		62.767032
0.145000		0.030000		64.003554
0.146000		0.030000		65.269355
0.147000		0.030000		66.565009
0.148000		0.030000		67.891095
0.149000		0.030000		69.248190
0.150000		0.030000		70.636879
0.151000		0.030000		72.057746
0.152000		0.030000		73.511376
0.153000		0.030000		74.998360
0.154000		0.030000		76.519286
0.155000		0.030000		78.074747
0.156000		0.030000		79.665335
0.157000		0.030000		81.291644
0.158000		0.030000		82.954270
0.159000		0.030000		84.653806
0.160000		0.030000		86.390849
0.161000		0.030000		88.165994
0.162000		0.030000		89.979837
0.163000		0.030000		91.832973
0.164000		0.030000		93.725997
0.165000		0.030000		95.659504
0.166000		0.030000		97.634086
0.167000		0.030000		99.650335
0.168000		0.030000		101.708842
0.169000		0.030000		103.810197
0.170000		0.030000		105.954986
0.171000		0.030000		108.143794
0.172000		0.030000		110.377205
0.173000		0.030000		112.655799
0.174000		0.030000		114.980154
0.175000		0.030000		117.350845
0.176000		0.030000		119.768444
0.177000		0.030000		122.233520
0.178000		0.030000		124.746639
