101
81
T [GeV]		muB [GeV]		betabulk_over_T4 [fm^-4 / GeV^4]
0.108000		0.020000		11.780017
0.109000		0.020000		12.115124
0.110000		0.020000		12.455586
0.111000		0.020000		12.801424
0.112000		0.020000		13.152668
0.113000		0.020000		13.509349
0.114000		0.020000		13.871504
0.115000		0.020000		14.239177
0.116000		0.020000		14.612414
0.117000		0.020000		14.991267
0.118000		0.020000		15.375794
0.119000		0.020000		15.766057
0.120000		0.020000		16.162123
0.121000		0.020000		16.564063
0.122000		0.020000		16.971955
0.123000		0.020000		17.385880
0.124000		0.020000		17.805925
0.125000		0.020000		18.232178
0.126000		0.020000		18.664737
0.127000		0.020000		19.103700
0.128000		0.020000		19.549171
0.129000		0.020000		20.001257
0.130000		0.020000		20.460070
0.131000		0.020000		20.925726
0.132000		0.020000		21.398343
0.133000		0.020000		21.878045
0.134000		0.020000		22.364956
0.135000		0.020000		22.859206
0.136000		0.020000		23.360926
0.137000		0.020000		23.870253
0.138000		0.020000		24.387322
0.139000		0.020000		24.912274
0.140000		0.020000		25.445250
0.141000		0.020000		25.986396
0.142000		0.020000		26.535857
0.143000		0.020000		27.093781
0.144000		0.020000		27.660317
0.145000		0.020000		28.235616
0.146000		0.020000		28.819830
0.147000		0.020000		29.413112
0.148000		0.020000		30.015616
0.149000		0.020000		30.627497
0.150000		0.020000		31.248908
0.151000		0.020000		31.880007
0.152000		0.020000		32.520947
0.153000		0.020000		33.171885
0.154000		0.020000		33.832976
0.155000		0.020000		34.504375
0.156000		0.020000		35.186236
0.157000		0.020000		35.878714
0.158000		0.020000		36.581961
0.159000		0.020000		37.296130
0.160000		0.020000		38.021372
0.161000		0.020000		38.757837
0.162000		0.020000		39.505673
0.163000		0.020000		40.265029
0.164000		0.020000		41.036049
0.165000		0.020000		41.818878
0.166000		0.020000		42.613658
0.167000		0.020000		43.420530
0.168000		0.020000		44.239631
0.169000		0.020000		45.071097
0.170000		0.020000		45.915064
0.171000		0.020000		46.771662
0.172000		0.020000		47.641021
0.173000		0.020000		48.523268
0.174000		0.020000		49.418526
0.175000		0.020000		50.326917
0.176000		0.020000		51.248560
0.177000		0.020000		52.183571
0.178000		0.020000		53.132062
0.179000		0.020000		54.094145
0.180000		0.020000		55.069925
0.181000		0.020000		56.059508
0.182000		0.020000		57.062994
0.183000		0.020000		58.080480
0.184000		0.020000		59.112061
0.185000		0.020000		60.157828
0.186000		0.020000		61.217869
0.187000		0.020000		62.292268
0.188000		0.020000		63.381107
0.189000		0.020000		64.484462
0.190000		0.020000		65.602409
0.191000		0.020000		66.735017
0.192000		0.020000		67.882354
0.193000		0.020000		69.044484
0.194000		0.020000		70.221465
0.195000		0.020000		71.413356
0.196000		0.020000		72.620207
0.197000		0.020000		73.842069
0.198000		0.020000		75.078987
0.199000		0.020000		76.331002
0.200000		0.020000		77.598154
0.100000		0.030000		9.273332
0.101000		0.030000		9.565415
0.102000		0.030000		9.862853
0.103000		0.030000		10.165636
0.104000		0.030000		10.473759
0.105000		0.030000		10.787220
0.106000		0.030000		11.106022
0.107000		0.030000		11.430169
0.108000		0.030000		11.759674
0.109000		0.030000		12.094550
0.110000		0.030000		12.434818
0.111000		0.030000		12.780500
0.112000		0.030000		13.131626
0.113000		0.030000		13.488228
0.114000		0.030000		13.850345
0.115000		0.030000		14.218020
0.116000		0.030000		14.591300
0.117000		0.030000		14.970238
0.118000		0.030000		15.354893
0.119000		0.030000		15.745325
0.120000		0.030000		16.141603
0.121000		0.030000		16.543799
0.122000		0.030000		16.951989
0.123000		0.030000		17.366255
0.124000		0.030000		17.786682
0.125000		0.030000		18.213362
0.126000		0.030000		18.646390
0.127000		0.030000		19.085864
0.128000		0.030000		19.531888
0.129000		0.030000		19.984569
0.130000		0.030000		20.444018
0.131000		0.030000		20.910352
0.132000		0.030000		21.383687
0.133000		0.030000		21.864147
0.134000		0.030000		22.351857
0.135000		0.030000		22.846945
0.136000		0.030000		23.349543
0.137000		0.030000		23.859786
0.138000		0.030000		24.377809
0.139000		0.030000		24.903753
0.140000		0.030000		25.437759
0.141000		0.030000		25.979970
0.142000		0.030000		26.530534
0.143000		0.030000		27.089596
0.144000		0.030000		27.657305
0.145000		0.030000		28.233813
0.146000		0.030000		28.819270
0.147000		0.030000		29.413829
0.148000		0.030000		30.017644
0.149000		0.030000		30.630867
0.150000		0.030000		31.253655
0.151000		0.030000		31.886161
0.152000		0.030000		32.528542
0.153000		0.030000		33.180951
0.154000		0.030000		33.843543
0.155000		0.030000		34.516474
0.156000		0.030000		35.199897
0.157000		0.030000		35.893967
0.158000		0.030000		36.598834
0.159000		0.030000		37.314652
0.160000		0.030000		38.041572
0.161000		0.030000		38.779742
0.162000		0.030000		39.529311
0.163000		0.030000		40.290427
0.164000		0.030000		41.063233
0.165000		0.030000		41.847875
0.166000		0.030000		42.644493
0.167000		0.030000		43.453228
0.168000		0.030000		44.274218
0.169000		0.030000		45.107598
0.170000		0.030000		45.953503
0.171000		0.030000		46.812062
0.172000		0.030000		47.683406
0.173000		0.030000		48.567660
0.174000		0.030000		49.464949
0.175000		0.030000		50.375393
0.176000		0.030000		51.299110
0.177000		0.030000		52.236217
0.178000		0.030000		53.186826
0.179000		0.030000		54.151046
0.180000		0.030000		55.128985
0.181000		0.030000		56.120745
0.182000		0.030000		57.126428
0.183000		0.030000		58.146130
0.184000		0.030000		59.179946
0.185000		0.030000		60.227966
0.186000		0.030000		61.290278
0.187000		0.030000		62.366965
0.188000		0.030000		63.458109
0.189000		0.030000		64.563786
0.190000		0.030000		65.684071
0.191000		0.030000		66.819033
0.192000		0.030000		67.968739
0.193000		0.030000		69.133252
0.194000		0.030000		70.312632
0.195000		0.030000		71.506934
0.196000		0.030000		72.716211
0.197000		0.030000		73.940512
0.198000		0.030000		75.179882
0.199000		0.030000		76.434361
0.200000		0.030000		77.703988
0.100000		0.040000		9.250362
0.101000		0.040000		9.541802
0.102000		0.040000		9.838628
0.103000		0.040000		10.140835
0.104000		0.040000		10.448419
0.105000		0.040000		10.761380
0.106000		0.040000		11.079724
0.107000		0.040000		11.403459
0.108000		0.040000		11.732596
0.109000		0.040000		12.067153
0.110000		0.040000		12.407150
0.111000		0.040000		12.752613
0.112000		0.040000		13.103572
0.113000		0.040000		13.460061
0.114000		0.040000		13.822120
0.115000		0.040000		14.189793
0.116000		0.040000		14.563127
0.117000		0.040000		14.942177
0.118000		0.040000		15.327001
0.119000		0.040000		15.717662
0.120000		0.040000		16.114226
0.121000		0.040000		16.516768
0.122000		0.040000		16.925363
0.123000		0.040000		17.340093
0.124000		0.040000		17.761044
0.125000		0.040000		18.188307
0.126000		0.040000		18.621976
0.127000		0.040000		19.062150
