T [fm^-1]		muB [fm^-1]		c0_df14 [..]
0.606667		0.054949		101.241410
0.609091		0.054949		98.759215
0.611515		0.054949		96.359619
0.613939		0.054949		94.039278
0.616364		0.054949		91.795007
0.618788		0.054949		89.623774
0.621212		0.054949		87.522691
0.623636		0.054949		85.489005
0.626061		0.054949		83.520093
0.628485		0.054949		81.613452
0.630909		0.054949		79.766695
0.633333		0.054949		77.977545
0.635758		0.054949		76.243826
0.638182		0.054949		74.563462
0.640606		0.054949		72.934468
0.643030		0.054949		71.354948
0.645455		0.054949		69.823090
0.647879		0.054949		68.337160
0.650303		0.054949		66.895501
0.652727		0.054949		65.496525
0.655152		0.054949		64.138715
0.657576		0.054949		62.820617
0.660000		0.054949		61.540837
0.662424		0.054949		60.298043
0.664848		0.054949		59.090955
0.667273		0.054949		57.918350
0.669697		0.054949		56.779051
0.672121		0.054949		55.671933
0.674545		0.054949		54.595914
0.676970		0.054949		53.549958
0.679394		0.054949		52.533070
0.681818		0.054949		51.544293
0.684242		0.054949		50.582710
0.686667		0.054949		49.647440
0.689091		0.054949		48.737636
0.691515		0.054949		47.852485
0.693939		0.054949		46.991204
0.696364		0.054949		46.153042
0.698788		0.054949		45.337275
0.701212		0.054949		44.543210
0.703636		0.054949		43.770176
0.706061		0.054949		43.017530
0.708485		0.054949		42.284653
0.710909		0.054949		41.570949
0.713333		0.054949		40.875845
0.715758		0.054949		40.198787
0.718182		0.054949		39.539243
0.720606		0.054949		38.896702
0.723030		0.054949		38.270670
0.725455		0.054949		37.660670
0.727879		0.054949		37.066245
0.730303		0.054949		36.486952
0.732727		0.054949		35.922367
0.735152		0.054949		35.372079
0.737576		0.054949		34.835692
0.740000		0.054949		34.312824
0.742424		0.054949		33.803109
0.744848		0.054949		33.306190
0.747273		0.054949		32.821727
0.749697		0.054949		32.349389
0.752121		0.054949		31.888857
0.754545		0.054949		31.439826
0.756970		0.054949		31.001998
0.759394		0.054949		30.575089
0.761818		0.054949		30.158822
0.764242		0.054949		29.752933
0.766667		0.054949		29.357165
0.769091		0.054949		28.971270
0.771515		0.054949		28.595011
0.773939		0.054949		28.228158
0.776364		0.054949		27.870488
0.778788		0.054949		27.521789
0.781212		0.054949		27.181855
0.783636		0.054949		26.850487
0.786061		0.054949		26.527494
0.788485		0.054949		26.212693
0.790909		0.054949		25.905905
0.793333		0.054949		25.606962
0.795758		0.054949		25.315698
0.798182		0.054949		25.031956
0.800606		0.054949		24.755584
0.803030		0.054949		24.486438
0.805455		0.054949		24.224377
0.807879		0.054949		23.969267
0.810303		0.054949		23.720982
0.812727		0.054949		23.479396
0.815152		0.054949		23.244395
0.817576		0.054949		23.015865
0.820000		0.054949		22.793700
0.580000		0.082424		135.326538
0.582424		0.082424		131.651374
0.584848		0.082424		128.109823
0.587273		0.082424		124.695944
0.589697		0.082424		121.404109
0.592121		0.082424		118.228985
0.594545		0.082424		115.165517
0.596970		0.082424		112.208911
0.599394		0.082424		109.354615
0.601818		0.082424		106.598311
0.604242		0.082424		103.935897
0.606667		0.082424		101.363473
0.609091		0.082424		98.877335
0.611515		0.082424		96.473957
0.613939		0.082424		94.149988
0.616364		0.082424		91.902235
0.618788		0.082424		89.727660
0.621212		0.082424		87.623367
0.623636		0.082424		85.586600
0.626061		0.082424		83.614728
0.628485		0.082424		81.705244
0.630909		0.082424		79.855755
0.633333		0.082424		78.063978
0.635758		0.082424		76.327735
0.638182		0.082424		74.644944
0.640606		0.082424		73.013616
0.643030		0.082424		71.431852
0.645455		0.082424		69.897834
0.647879		0.082424		68.409827
0.650303		0.082424		66.966168
0.652727		0.082424		65.565269
0.655152		0.082424		64.205606
0.657576		0.082424		62.885724
0.660000		0.082424		61.604227
0.662424		0.082424		60.359779
0.664848		0.082424		59.151099
0.667273		0.082424		57.976959
0.669697		0.082424		56.836182
0.672121		0.082424		55.727639
0.674545		0.082424		54.650248
0.676970		0.082424		53.602969
0.679394		0.082424		52.584805
0.681818		0.082424		51.594798
0.684242		0.082424		50.632030
0.686667		0.082424		49.695617
0.689091		0.082424		48.784711
0.691515		0.082424		47.898497
0.693939		0.082424		47.036192
0.696364		0.082424		46.197041
0.698788		0.082424		45.380321
0.701212		0.082424		44.585336
0.703636		0.082424		43.811415
0.706061		0.082424		43.057913
0.708485		0.082424		42.324211
0.710909		0.082424		41.609710
0.713333		0.082424		40.913837
0.715758		0.082424		40.236038
0.718182		0.082424		39.575780
0.720606		0.082424		38.932549
0.723030		0.082424		38.305851
0.725455		0.082424		37.695209
0.727879		0.082424		37.100165
0.730303		0.082424		36.520276
0.732727		0.082424		35.955115
0.735152		0.082424		35.404271
0.737576		0.082424		34.867349
0.740000		0.082424		34.343966
0.742424		0.082424		33.833753
0.744848		0.082424		33.336356
0.747273		0.082424		32.851431
0.749697		0.082424		32.378648
0.752121		0.082424		31.917689
0.754545		0.082424		31.468245
0.756970		0.082424		31.030021
0.759394		0.082424		30.602731
0.761818		0.082424		30.186098
0.764242		0.082424		29.779857
0.766667		0.082424		29.383750
0.769091		0.082424		28.997531
0.771515		0.082424		28.620960
0.773939		0.082424		28.253808
0.776364		0.082424		27.895853
0.778788		0.082424		27.546880
0.781212		0.082424		27.206685
0.783636		0.082424		26.875067
0.786061		0.082424		26.551836
0.788485		0.082424		26.236807
0.790909		0.082424		25.929804
0.793333		0.082424		25.630655
0.795758		0.082424		25.339196
0.798182		0.082424		25.055270
0.800606		0.082424		24.778725
0.803030		0.082424		24.509415
0.805455		0.082424		24.247201
0.807879		0.082424		23.991948
0.810303		0.082424		23.743528
0.812727		0.082424		23.501819
0.815152		0.082424		23.266703
0.817576		0.082424		23.038068
0.820000		0.082424		22.815807
0.580000		0.109899		135.575243
0.582424		0.109899		131.891268
0.584848		0.109899		128.341291
0.587273		0.109899		124.919351
0.589697		0.109899		121.619801
0.592121		0.109899		118.437292
0.594545		0.109899		115.366753
0.596970		0.109899		112.403373
0.599394		0.109899		109.542588
0.601818		0.109899		106.780066
0.604242		0.109899		104.111691
0.606667		0.109899		101.533552
0.609091		0.109899		99.041933
0.611515		0.109899		96.633297
0.613939		0.109899		94.304283
0.616364		0.109899		92.051688
0.618788		0.109899		89.872465
0.621212		0.109899		87.763710
0.623636		0.109899		85.722657
0.626061		0.109899		83.746668
0.628485		0.109899		81.833229
0.630909		0.109899		79.979939
0.633333		0.109899		78.184509
0.635758		0.109899		76.444754
0.638182		0.109899		74.758586
0.640606		0.109899		73.124011
0.643030		0.109899		71.539123
0.645455		0.109899		70.002101
0.647879		0.109899		68.511202
0.650303		0.109899		67.064760
0.652727		0.109899		65.661182
0.655152		0.109899		64.298942
0.657576		0.109899		62.976577
0.660000		0.109899		61.692690
0.662424		0.109899		60.445939
0.664848		0.109899		59.235041
0.667273		0.109899		58.058764
0.669697		0.109899		56.915929
0.672121		0.109899		55.805402
0.674545		0.109899		54.726099
0.676970		0.109899		53.676978
0.679394		0.109899		52.657037
0.681818		0.109899		51.665319
0.684242		0.109899		50.700900
0.686667		0.109899		49.762895
0.689091		0.109899		48.850454
0.691515		0.109899		47.962760
0.693939		0.109899		47.099026
0.696364		0.109899		46.258499
0.698788		0.109899		45.440451
0.701212		0.109899		44.644184
0.703636		0.109899		43.869027
0.706061		0.109899		43.114333
0.708485		0.109899		42.379480
0.710909		0.109899		41.663870
0.713333		0.109899		40.966926
0.715758		0.109899		40.288094
0.718182		0.109899		39.626839
0.720606		0.109899		38.982647
0.723030		0.109899		38.355022
0.725455		0.109899		37.743486
0.727879		0.109899		37.147579
0.730303		0.109899		36.566858
0.732727		0.109899		36.000895
0.735152		0.109899		35.449278
0.737576		0.109899		34.911610
0.740000		0.109899		34.387508
0.742424		0.109899		33.876602
0.744848		0.109899		33.378537
0.747273		0.109899		32.892969
0.749697		0.109899		32.419567
0.752121		0.109899		31.958011
