100
100
T [fm^-1]		muB [fm^-1]		G_dfce [1]
0.776364		0.027475		0.059034
0.778788		0.027475		0.059124
0.781212		0.027475		0.059215
0.783636		0.027475		0.059305
0.786061		0.027475		0.059396
0.788485		0.027475		0.059486
0.790909		0.027475		0.059576
0.793333		0.027475		0.059667
0.795758		0.027475		0.059757
0.798182		0.027475		0.059847
0.800606		0.027475		0.059937
0.803030		0.027475		0.060027
0.805455		0.027475		0.060117
0.807879		0.027475		0.060206
0.810303		0.027475		0.060296
0.812727		0.027475		0.060385
0.815152		0.027475		0.060475
0.817576		0.027475		0.060564
0.820000		0.027475		0.060653
0.580000		0.054949		0.106625
0.582424		0.054949		0.106659
0.584848		0.054949		0.106699
0.587273		0.054949		0.106744
0.589697		0.054949		0.106793
0.592121		0.054949		0.106847
0.594545		0.054949		0.106905
0.596970		0.054949		0.106968
0.599394		0.054949		0.107035
0.601818		0.054949		0.107106
0.604242		0.054949		0.107182
0.606667		0.054949		0.107261
0.609091		0.054949		0.107344
0.611515		0.054949		0.107431
0.613939		0.054949		0.107521
0.616364		0.054949		0.107616
0.618788		0.054949		0.107713
0.621212		0.054949		0.107814
0.623636		0.054949		0.107918
0.626061		0.054949		0.108026
0.628485		0.054949		0.108136
0.630909		0.054949		0.108250
0.633333		0.054949		0.108366
0.635758		0.054949		0.108486
0.638182		0.054949		0.108608
0.640606		0.054949		0.108732
0.643030		0.054949		0.108860
0.645455		0.054949		0.108989
0.647879		0.054949		0.109122
0.650303		0.054949		0.109256
0.652727		0.054949		0.109393
0.655152		0.054949		0.109532
0.657576		0.054949		0.109673
0.660000		0.054949		0.109817
0.662424		0.054949		0.109962
0.664848		0.054949		0.110109
0.667273		0.054949		0.110258
0.669697		0.054949		0.110409
0.672121		0.054949		0.110561
0.674545		0.054949		0.110716
0.676970		0.054949		0.110871
0.679394		0.054949		0.111029
0.681818		0.054949		0.111187
0.684242		0.054949		0.111348
0.686667		0.054949		0.111509
0.689091		0.054949		0.111672
0.691515		0.054949		0.111836
0.693939		0.054949		0.112002
0.696364		0.054949		0.112168
0.698788		0.054949		0.112336
0.701212		0.054949		0.112504
0.703636		0.054949		0.112674
0.706061		0.054949		0.112845
0.708485		0.054949		0.113016
0.710909		0.054949		0.113189
0.713333		0.054949		0.113362
0.715758		0.054949		0.113536
0.718182		0.054949		0.113711
0.720606		0.054949		0.113886
0.723030		0.054949		0.114062
0.725455		0.054949		0.114239
0.727879		0.054949		0.114416
0.730303		0.054949		0.114594
0.732727		0.054949		0.114772
0.735152		0.054949		0.114951
0.737576		0.054949		0.115130
0.740000		0.054949		0.115310
0.742424		0.054949		0.115490
0.744848		0.054949		0.115670
0.747273		0.054949		0.115851
0.749697		0.054949		0.116032
0.752121		0.054949		0.116213
0.754545		0.054949		0.116394
0.756970		0.054949		0.116576
0.759394		0.054949		0.116758
0.761818		0.054949		0.116940
0.764242		0.054949		0.117122
0.766667		0.054949		0.117304
0.769091		0.054949		0.117486
0.771515		0.054949		0.117668
0.773939		0.054949		0.117850
0.776364		0.054949		0.118032
0.778788		0.054949		0.118215
0.781212		0.054949		0.118397
0.783636		0.054949		0.118579
0.786061		0.054949		0.118761
0.788485		0.054949		0.118942
0.790909		0.054949		0.119124
0.793333		0.054949		0.119306
0.795758		0.054949		0.119487
0.798182		0.054949		0.119668
0.800606		0.054949		0.119849
0.803030		0.054949		0.120030
0.805455		0.054949		0.120210
0.807879		0.054949		0.120391
0.810303		0.054949		0.120571
0.812727		0.054949		0.120750
0.815152		0.054949		0.120930
0.817576		0.054949		0.121109
0.820000		0.054949		0.121288
0.580000		0.082424		0.159464
0.582424		0.082424		0.159524
0.584848		0.082424		0.159591
0.587273		0.082424		0.159665
0.589697		0.082424		0.159746
0.592121		0.082424		0.159835
0.594545		0.082424		0.159929
0.596970		0.082424		0.160031
0.599394		0.082424		0.160138
0.601818		0.082424		0.160252
0.604242		0.082424		0.160372
0.606667		0.082424		0.160497
0.609091		0.082424		0.160629
0.611515		0.082424		0.160766
0.613939		0.082424		0.160908
0.616364		0.082424		0.161056
0.618788		0.082424		0.161208
0.621212		0.082424		0.161366
0.623636		0.082424		0.161528
0.626061		0.082424		0.161696
0.628485		0.082424		0.161867
0.630909		0.082424		0.162044
0.633333		0.082424		0.162224
0.635758		0.082424		0.162409
0.638182		0.082424		0.162598
0.640606		0.082424		0.162790
0.643030		0.082424		0.162987
0.645455		0.082424		0.163187
0.647879		0.082424		0.163391
0.650303		0.082424		0.163598
0.652727		0.082424		0.163809
0.655152		0.082424		0.164022
0.657576		0.082424		0.164239
0.660000		0.082424		0.164459
0.662424		0.082424		0.164682
0.664848		0.082424		0.164908
0.667273		0.082424		0.165136
0.669697		0.082424		0.165367
0.672121		0.082424		0.165601
0.674545		0.082424		0.165837
0.676970		0.082424		0.166075
0.679394		0.082424		0.166316
0.681818		0.082424		0.166558
0.684242		0.082424		0.166803
0.686667		0.082424		0.167050
0.689091		0.082424		0.167299
0.691515		0.082424		0.167549
0.693939		0.082424		0.167801
0.696364		0.082424		0.168055
0.698788		0.082424		0.168311
0.701212		0.082424		0.168568
0.703636		0.082424		0.168826
0.706061		0.082424		0.169086
0.708485		0.082424		0.169347
0.710909		0.082424		0.169610
0.713333		0.082424		0.169873
0.715758		0.082424		0.170138
0.718182		0.082424		0.170404
0.720606		0.082424		0.170671
0.723030		0.082424		0.170939
0.725455		0.082424		0.171207
0.727879		0.082424		0.171477
0.730303		0.082424		0.171747
0.732727		0.082424		0.172018
0.735152		0.082424		0.172289
0.737576		0.082424		0.172561
0.740000		0.082424		0.172834
0.742424		0.082424		0.173107
0.744848		0.082424		0.173381
0.747273		0.082424		0.173655
0.749697		0.082424		0.173930
0.752121		0.082424		0.174205
0.754545		0.082424		0.174480
