T [fm^-1]		muB [fm^-1]		betaV_dfce [fm^-3]
0.606667		0.054949		0.000248
0.609091		0.054949		0.000260
0.611515		0.054949		0.000272
0.613939		0.054949		0.000285
0.616364		0.054949		0.000299
0.618788		0.054949		0.000313
0.621212		0.054949		0.000328
0.623636		0.054949		0.000343
0.626061		0.054949		0.000359
0.628485		0.054949		0.000376
0.630909		0.054949		0.000393
0.633333		0.054949		0.000411
0.635758		0.054949		0.000429
0.638182		0.054949		0.000449
0.640606		0.054949		0.000469
0.643030		0.054949		0.000490
0.645455		0.054949		0.000512
0.647879		0.054949		0.000534
0.650303		0.054949		0.000558
0.652727		0.054949		0.000582
0.655152		0.054949		0.000607
0.657576		0.054949		0.000633
0.660000		0.054949		0.000661
0.662424		0.054949		0.000689
0.664848		0.054949		0.000718
0.667273		0.054949		0.000748
0.669697		0.054949		0.000780
0.672121		0.054949		0.000812
0.674545		0.054949		0.000846
0.676970		0.054949		0.000881
0.679394		0.054949		0.000917
0.681818		0.054949		0.000955
0.684242		0.054949		0.000993
0.686667		0.054949		0.001034
0.689091		0.054949		0.001075
0.691515		0.054949		0.001118
0.693939		0.054949		0.001162
0.696364		0.054949		0.001208
0.698788		0.054949		0.001256
0.701212		0.054949		0.001305
0.703636		0.054949		0.001356
0.706061		0.054949		0.001409
0.708485		0.054949		0.001463
0.710909		0.054949		0.001519
0.713333		0.054949		0.001577
0.715758		0.054949		0.001637
0.718182		0.054949		0.001699
0.720606		0.054949		0.001762
0.723030		0.054949		0.001828
0.725455		0.054949		0.001896
0.727879		0.054949		0.001967
0.730303		0.054949		0.002039
0.732727		0.054949		0.002114
0.735152		0.054949		0.002191
0.737576		0.054949		0.002270
0.740000		0.054949		0.002352
0.742424		0.054949		0.002437
0.744848		0.054949		0.002524
0.747273		0.054949		0.002614
0.749697		0.054949		0.002706
0.752121		0.054949		0.002802
0.754545		0.054949		0.002900
0.756970		0.054949		0.003001
0.759394		0.054949		0.003106
0.761818		0.054949		0.003213
0.764242		0.054949		0.003324
0.766667		0.054949		0.003437
0.769091		0.054949		0.003555
0.771515		0.054949		0.003675
0.773939		0.054949		0.003799
0.776364		0.054949		0.003927
0.778788		0.054949		0.004058
0.781212		0.054949		0.004193
0.783636		0.054949		0.004332
0.786061		0.054949		0.004475
0.788485		0.054949		0.004622
0.790909		0.054949		0.004774
0.793333		0.054949		0.004929
0.795758		0.054949		0.005089
0.798182		0.054949		0.005253
0.800606		0.054949		0.005421
0.803030		0.054949		0.005595
0.805455		0.054949		0.005773
0.807879		0.054949		0.005955
0.810303		0.054949		0.006143
0.812727		0.054949		0.006336
0.815152		0.054949		0.006534
0.817576		0.054949		0.006737
0.820000		0.054949		0.006946
0.580000		0.082424		0.000145
0.582424		0.082424		0.000153
0.584848		0.082424		0.000160
0.587273		0.082424		0.000169
0.589697		0.082424		0.000177
0.592121		0.082424		0.000186
0.594545		0.082424		0.000196
0.596970		0.082424		0.000205
0.599394		0.082424		0.000216
0.601818		0.082424		0.000226
0.604242		0.082424		0.000237
0.606667		0.082424		0.000249
0.609091		0.082424		0.000261
0.611515		0.082424		0.000273
0.613939		0.082424		0.000287
0.616364		0.082424		0.000300
0.618788		0.082424		0.000314
0.621212		0.082424		0.000329
0.623636		0.082424		0.000345
0.626061		0.082424		0.000361
0.628485		0.082424		0.000377
0.630909		0.082424		0.000395
0.633333		0.082424		0.000413
0.635758		0.082424		0.000431
0.638182		0.082424		0.000451
0.640606		0.082424		0.000471
0.643030		0.082424		0.000492
0.645455		0.082424		0.000514
0.647879		0.082424		0.000536
0.650303		0.082424		0.000560
0.652727		0.082424		0.000584
0.655152		0.082424		0.000610
0.657576		0.082424		0.000636
0.660000		0.082424		0.000663
0.662424		0.082424		0.000691
0.664848		0.082424		0.000721
0.667273		0.082424		0.000751
0.669697		0.082424		0.000783
0.672121		0.082424		0.000815
0.674545		0.082424		0.000849
0.676970		0.082424		0.000884
0.679394		0.082424		0.000920
0.681818		0.082424		0.000958
0.684242		0.082424		0.000997
0.686667		0.082424		0.001037
0.689091		0.082424		0.001079
0.691515		0.082424		0.001122
0.693939		0.082424		0.001166
0.696364		0.082424		0.001213
0.698788		0.082424		0.001260
0.701212		0.082424		0.001309
0.703636		0.082424		0.001360
0.706061		0.082424		0.001413
0.708485		0.082424		0.001468
0.710909		0.082424		0.001524
0.713333		0.082424		0.001582
0.715758		0.082424		0.001642
0.718182		0.082424		0.001704
0.720606		0.082424		0.001768
0.723030		0.082424		0.001834
0.725455		0.082424		0.001902
0.727879		0.082424		0.001972
0.730303		0.082424		0.002045
0.732727		0.082424		0.002120
0.735152		0.082424		0.002197
0.737576		0.082424		0.002277
0.740000		0.082424		0.002359
0.742424		0.082424		0.002444
0.744848		0.082424		0.002531
0.747273		0.082424		0.002621
0.749697		0.082424		0.002714
0.752121		0.082424		0.002810
0.754545		0.082424		0.002908
0.756970		0.082424		0.003009
0.759394		0.082424		0.003114
0.761818		0.082424		0.003222
0.764242		0.082424		0.003332
0.766667		0.082424		0.003446
0.769091		0.082424		0.003564
0.771515		0.082424		0.003685
0.773939		0.082424		0.003809
0.776364		0.082424		0.003937
0.778788		0.082424		0.004069
0.781212		0.082424		0.004204
0.783636		0.082424		0.004343
0.786061		0.082424		0.004487
0.788485		0.082424		0.004634
0.790909		0.082424		0.004785
0.793333		0.082424		0.004941
0.795758		0.082424		0.005101
0.798182		0.082424		0.005265
0.800606		0.082424		0.005434
0.803030		0.082424		0.005608
0.805455		0.082424		0.005786
0.807879		0.082424		0.005969
0.810303		0.082424		0.006157
0.812727		0.082424		0.006351
0.815152		0.082424		0.006549
0.817576		0.082424		0.006753
0.820000		0.082424		0.006962
0.580000		0.109899		0.000146
0.582424		0.109899		0.000154
0.584848		0.109899		0.000162
0.587273		0.109899		0.000170
0.589697		0.109899		0.000178
0.592121		0.109899		0.000188
0.594545		0.109899		0.000197
0.596970		0.109899		0.000207
0.599394		0.109899		0.000217
0.601818		0.109899		0.000228
0.604242		0.109899		0.000239
0.606667		0.109899		0.000250
0.609091		0.109899		0.000263
0.611515		0.109899		0.000275
0.613939		0.109899		0.000288
0.616364		0.109899		0.000302
0.618788		0.109899		0.000316
0.621212		0.109899		0.000331
0.623636		0.109899		0.000347
0.626061		0.109899		0.000363
0.628485		0.109899		0.000379
0.630909		0.109899		0.000397
0.633333		0.109899		0.000415
0.635758		0.109899		0.000434
0.638182		0.109899		0.000453
0.640606		0.109899		0.000474
0.643030		0.109899		0.000495
0.645455		0.109899		0.000517
0.647879		0.109899		0.000539
0.650303		0.109899		0.000563
0.652727		0.109899		0.000587
0.655152		0.109899		0.000613
0.657576		0.109899		0.000639
0.660000		0.109899		0.000667
0.662424		0.109899		0.000695
0.664848		0.109899		0.000725
0.667273		0.109899		0.000755
0.669697		0.109899		0.000787
0.672121		0.109899		0.000819
0.674545		0.109899		0.000853
0.676970		0.109899		0.000889
0.679394		0.109899		0.000925
0.681818		0.109899		0.000963
0.684242		0.109899		0.001002
0.686667		0.109899		0.001042
0.689091		0.109899		0.001084
0.691515		0.109899		0.001127
0.693939		0.109899		0.001172
0.696364		0.109899		0.001218
0.698788		0.109899		0.001266
0.701212		0.109899		0.001315
0.703636		0.109899		0.001367
0.706061		0.109899		0.001419
0.708485		0.109899		0.001474
0.710909		0.109899		0.001531
0.713333		0.109899		0.001589
0.715758		0.109899		0.001649
0.718182		0.109899		0.001711
0.720606		0.109899		0.001775
0.723030		0.109899		0.001842
0.725455		0.109899		0.001910
0.727879		0.109899		0.001981
0.730303		0.109899		0.002054
0.732727		0.109899		0.002129
0.735152		0.109899		0.002206
0.737576		0.109899		0.002286
0.740000		0.109899		0.002369
0.742424		0.109899		0.002454
0.744848		0.109899		0.002541
0.747273		0.109899		0.002631
0.749697		0.109899		0.002725
0.752121		0.109899		0.002820
0.754545		0.109899		0.002919
0.756970		0.109899		0.003021
0.759394		0.109899		0.003126
0.761818		0.109899		0.003234
0.764242		0.109899		0.003345
0.766667		0.109899		0.003459
0.769091		0.109899		0.003577
0.771515		0.109899		0.003698
0.773939		0.109899		0.003823
0.776364		0.109899		0.003951
0.778788		0.109899		0.004083
0.781212		0.109899		0.004219
0.783636		0.109899		0.004359
0.786061		0.109899		0.004502
