T [fm^-1]		c2_df14_muB_0 [..]
0.580000		-7.928759
0.582424		-7.607206
0.584848		-7.301140
0.587273		-7.009714
0.589697		-6.732130
0.592121		-6.467641
0.594545		-6.215545
0.596970		-5.975180
0.599394		-5.745925
0.601818		-5.527197
0.604242		-5.318445
0.606667		-5.119151
0.609091		-4.928828
0.611515		-4.747015
0.613939		-4.573280
0.616364		-4.407214
0.618788		-4.248430
0.621212		-4.096566
0.623636		-3.951278
0.626061		-3.812240
0.628485		-3.679147
0.630909		-3.551708
0.633333		-3.429649
0.635758		-3.312712
0.638182		-3.200651
0.640606		-3.093234
0.643030		-2.990241
0.645455		-2.891464
0.647879		-2.796706
0.650303		-2.705780
0.652727		-2.618509
0.655152		-2.534725
0.657576		-2.454268
0.660000		-2.376988
0.662424		-2.302740
0.664848		-2.231389
0.667273		-2.162806
0.669697		-2.096867
0.672121		-2.033455
0.674545		-1.972460
0.676970		-1.913776
0.679394		-1.857304
0.681818		-1.802946
0.684242		-1.750613
0.686667		-1.700218
0.689091		-1.651679
0.691515		-1.604917
0.693939		-1.559858
0.696364		-1.516431
0.698788		-1.474568
0.701212		-1.434205
0.703636		-1.395279
0.706061		-1.357732
0.708485		-1.321509
0.710909		-1.286555
0.713333		-1.252820
0.715758		-1.220256
0.718182		-1.188815
0.720606		-1.158453
0.723030		-1.129128
0.725455		-1.100799
0.727879		-1.073429
0.730303		-1.046979
0.732727		-1.021414
0.735152		-0.996701
0.737576		-0.972808
0.740000		-0.949703
0.742424		-0.927357
0.744848		-0.905742
0.747273		-0.884830
0.749697		-0.864596
0.752121		-0.845014
0.754545		-0.826062
0.756970		-0.807716
0.759394		-0.789954
0.761818		-0.772756
0.764242		-0.756102
0.766667		-0.739972
0.769091		-0.724349
0.771515		-0.709213
0.773939		-0.694550
0.776364		-0.680341
0.778788		-0.666573
0.781212		-0.653229
0.783636		-0.640296
0.786061		-0.627761
0.788485		-0.615609
0.790909		-0.603828
0.793333		-0.592406
0.795758		-0.581332
0.798182		-0.570594
0.800606		-0.560182
0.803030		-0.550085
0.805455		-0.540294
0.807879		-0.530798
0.810303		-0.521590
0.812727		-0.512661
0.815152		-0.504001
0.817576		-0.495603
0.820000		-0.487459
