mcid,tau,x,y,eta,E,px,py,pz
  211,8.73788000e-01,-7.06810000e+00,-2.67566000e+00,-1.00000000e+00,1.18273950e+00,-3.39762276e-01,-4.15869806e-01,-1.04451270e+00
  211,9.74234000e-01,-2.64047000e+00,-7.04205000e+00,2.00000000e+00,2.96309084e-01,-1.51521314e-02,4.47534081e-02,2.57073591e-01
  211,1.02447000e+00,-5.26008000e+00,5.45883000e+00,-2.50000000e-01,6.25277340e-01,-9.95798359e-02,5.99584452e-01,4.55449543e-02
  211,1.02501000e+00,-7.00175000e-01,-7.56075000e+00,-2.50000000e-01,4.70718116e-01,-1.21342652e-01,-2.45943023e-01,-3.56207472e-01
  211,1.27537000e+00,-5.24953000e+00,5.44882000e+00,2.50000000e+00,1.23495877e+00,-5.20054134e-02,6.74191227e-02,1.22408881e+00
  211,1.37489000e+00,3.00428000e-01,-7.59432000e+00,-1.75000000e+00,4.27015924e+00,-3.71411988e-01,-1.18134726e+00,-4.08426872e+00
  211,1.77682000e+00,2.08427000e+00,-7.42604000e+00,2.50000000e-01,2.84149140e-01,-9.03762970e-02,-2.04015417e-01,-1.07101734e-01
  211,1.97475000e+00,7.36999000e+00,-2.50143000e+00,-2.50000000e+00,1.19446242e+00,3.42586964e-01,-1.71841750e-01,-1.12265992e+00
  211,2.07499000e+00,-1.50035000e+00,7.69927000e+00,1.50000000e+00,2.30453777e+00,7.63031286e-02,1.11391036e+00,2.01116778e+00
  211,2.07493000e+00,6.89326000e+00,3.70082000e+00,-4.75000000e+00,1.67487774e+01,2.74394328e-01,2.06178956e-01,-1.67446796e+01
  211,2.17391000e+00,-5.34372000e+00,-5.74802000e+00,-1.25000000e+00,1.92917407e-01,-7.69186844e-02,-5.92354488e-02,-9.11702775e-02
  211,2.22457000e+00,-3.30268000e+00,7.15566000e+00,-3.25000000e+00,1.00756664e+01,7.12166572e-02,6.71475262e-01,-1.00520458e+01
  211,2.27503000e+00,-4.50047000e+00,6.48121000e+00,-2.75000000e+00,1.93435841e+01,-1.48642264e+00,1.53446718e+00,-1.92247428e+01
  211,2.52500000e+00,-1.10010000e+00,-7.93161000e+00,5.00000000e-01,7.99245000e-01,4.95896946e-01,-3.24729621e-01,5.17638584e-01
  211,2.57500000e+00,7.92814000e+00,-1.30016000e+00,7.50000000e-01,1.14091837e+00,5.77317953e-01,1.19374021e-01,9.66782710e-01
  211,2.68658000e+00,3.61298000e+00,7.20732000e+00,-3.00000000e+00,2.69684434e+00,3.12909234e-01,3.72267802e-01,-2.64896095e+00
  211,2.72575000e+00,-5.08284000e+00,-6.27070000e+00,-2.00000000e+00,7.94238329e+00,-1.09379326e+00,-8.53885855e-01,-7.81898153e+00
  211,2.72494000e+00,7.98277000e+00,1.30038000e+00,-2.50000000e+00,1.15658178e+01,1.31170985e+00,2.71607653e-01,-1.14871367e+01
  211,2.77500000e+00,-8.10171000e+00,-9.99917000e-02,-2.75000000e+00,8.32655239e+00,-1.07858981e+00,-1.59494935e-01,-8.25367822e+00
  211,2.77722000e+00,3.24895000e+00,-7.42426000e+00,0.00000000e+00,4.00133818e-01,-1.07062404e-01,-2.87730627e-01,2.15350932e-01
  211,2.77552000e+00,5.09703000e+00,6.28384000e+00,5.00000000e-01,7.05735624e-01,5.74930982e-01,3.57704607e-01,1.41720757e-01
  211,2.77499000e+00,7.88118000e+00,-1.90025000e+00,2.50000000e+00,5.51242590e+00,2.35608435e-01,-4.24017228e-01,5.48926726e+00
  211,2.87500000e+00,-9.00047000e-01,8.09421000e+00,-3.50000000e+00,1.24880438e+01,3.80885484e-01,6.34548081e-01,-1.24653135e+01
