mcid,tau,x,y,eta,E,px,py,pz
  211,6.24691000e-01,4.69522000e+00,-6.07729000e+00,5.00000000e-01,5.36041319e-01,-2.95678820e-01,-6.49478890e-02,-4.19781269e-01
  211,7.24927000e-01,3.69905000e+00,6.70281000e+00,-1.00000000e+00,1.68986157e-01,-2.58312992e-04,9.48913946e-02,-8.49082419e-03
  211,7.74997000e-01,-4.99421000e-01,-7.61651000e+00,2.50000000e-01,6.01158082e-01,-3.40894586e-01,1.31510851e-01,-4.56516139e-01
  211,7.75231000e-01,7.12469000e+00,2.70410000e+00,-4.75000000e+00,1.90402870e+01,2.63855295e-01,1.66482958e-01,-1.90372195e+01
  211,8.24897000e-01,7.28585000e+00,-2.10491000e+00,4.75000000e+00,2.66960411e+01,-1.77751864e-01,-1.50949690e-01,2.66946585e+01
  211,8.78621000e-01,-2.28706000e+00,7.19534000e+00,-5.00000000e-01,5.76990366e-01,-2.57647809e-01,3.25207324e-01,-3.75893481e-01
  211,9.76215000e-01,-3.58452000e+00,-6.59186000e+00,4.25000000e+00,2.01335506e+01,-2.76048149e-01,-1.34663436e-01,2.01307232e+01
  211,9.75073000e-01,7.31515000e+00,-1.90068000e+00,5.00000000e-01,5.15551627e-01,2.13383898e-01,1.33743189e-01,4.27660787e-01
  211,1.07500000e+00,-9.99991000e-02,-7.57167000e+00,-4.25000000e+00,9.62299824e-01,-2.72057741e-03,-6.32922234e-03,-9.52099655e-01
  211,1.12524000e+00,5.92725000e+00,4.70249000e+00,-2.75000000e+00,1.43037546e+00,-1.21150462e-01,3.11376273e-01,-1.38378520e+00
  211,1.82500000e+00,7.73046000e+00,-3.00070000e-01,-3.25000000e+00,1.42517195e+01,6.14156823e-01,-2.62149959e-01,-1.42353823e+01
  211,1.97626000e+00,7.23641000e+00,2.87312000e+00,-4.50000000e+00,1.86740799e+01,3.94119406e-01,2.24816956e-01,-1.86680456e+01
  211,2.22498000e+00,1.70036000e+00,-7.70753000e+00,-3.00000000e+00,5.04796028e+00,-4.55141289e-01,-6.88578974e-01,-4.97806480e+00
  211,2.22492000e+00,6.31234000e+00,4.70078000e+00,-4.75000000e+00,4.65732956e+01,3.97939303e-01,-1.77099844e-01,-4.65710478e+01
  211,2.22283000e+00,7.38308000e+00,-2.74389000e+00,4.50000000e+00,2.44687138e+01,1.10934743e-01,-9.11465293e-01,2.44510821e+01
  211,2.27435000e+00,4.10473000e+00,-6.74439000e+00,-2.50000000e-01,2.43753120e-01,9.81955429e-02,-1.22858513e-01,-1.23285119e-01
  211,2.37285000e+00,-4.97058000e+00,-6.17678000e+00,4.25000000e+00,1.12656240e+01,-1.26498842e-01,-3.10064363e-01,1.12597805e+01
  211,2.52394000e+00,-5.94319000e+00,5.33457000e+00,-1.25000000e+00,1.28263056e+00,-6.72311282e-01,4.59149713e-01,-9.81244378e-01
  211,2.57499000e+00,7.55064000e+00,2.70026000e+00,-3.75000000e+00,2.66265869e+00,2.38835753e-01,1.98783988e-01,-2.64077916e+00
  211,2.57500000e+00,7.98131000e+00,7.00075000e-01,4.50000000e+00,3.17000866e+01,8.57823485e-01,1.06943072e-01,3.16879901e+01
  211,2.67317000e+00,-4.35668000e+00,-6.77328000e+00,1.75000000e+00,1.19974244e+00,-1.68986919e-01,-5.78515218e-01,1.02794250e+00
  211,2.77483000e+00,5.30147000e+00,-6.10807000e+00,2.00000000e+00,2.48252916e+00,4.06279099e-02,-2.74581093e-01,2.46301140e+00
  211,2.82500000e+00,-8.05074000e+00,-1.10015000e+00,2.50000000e+00,4.44450617e+00,-7.23446650e-01,4.80460393e-01,4.35659710e+00
  211,2.82505000e+00,1.30000000e+00,-8.02494000e+00,2.50000000e-01,3.60674530e-01,2.82478038e-01,-1.70603918e-01,4.13134809e-02
  211,2.87573000e+00,-3.29594000e+00,7.44914000e+00,4.75000000e+00,4.85383034e+01,-1.01702892e-01,5.63956443e-01,4.85347188e+01
  211,2.92637000e+00,-2.88867000e+00,7.63693000e+00,-1.75000000e+00,2.03489113e+00,-1.53030294e-02,5.20862133e-01,-1.96208325e+00
  211,2.97582000e+00,-5.47847000e+00,-6.07182000e+00,1.50000000e+00,2.25773740e+00,-4.12223971e-01,-1.17126821e+00,1.88045213e+00
  211,3.02497000e+00,-3.70043000e+00,-7.32717000e+00,1.00000000e+00,7.58789480e-01,-3.79330301e-01,-3.30687373e-01,5.50487135e-01
  211,3.02500000e+00,9.00068000e-01,8.15552000e+00,-2.25000000e+00,3.44994926e+00,-2.37925715e-01,2.25905285e-01,-3.43147598e+00
  211,3.02500000e+00,9.00068000e-01,8.15552000e+00,2.50000000e+00,6.44842482e+00,1.79098019e-01,8.07196080e-01,6.39367359e+00
  211,3.02500000e+00,1.10011000e+00,-8.13690000e+00,-4.25000000e+00,6.03996992e+00,-1.37942580e-01,-3.15914651e-01,-6.02850977e+00
  211,3.02292000e+00,6.37172000e+00,-5.16480000e+00,-1.25000000e+00,5.75419712e+00,1.88460372e+00,-2.15804598e+00,-4.98822726e+00
  211,3.07543000e+00,5.29797000e+00,-6.28758000e+00,-3.50000000e+00,2.01833000e+01,2.60298807e-01,-3.35905760e-01,-2.01783439e+01
  211,3.12500000e+00,-1.30008000e+00,-8.15558000e+00,1.00000000e+00,1.63877308e+00,-3.97783108e-01,-4.39431663e-01,1.52143552e+00
  211,3.12499000e+00,1.50026000e+00,-8.12908000e+00,4.00000000e+00,1.03858595e+01,1.24626547e-01,-1.02022081e-01,1.03836725e+01
  211,3.22498000e+00,3.50038000e+00,7.52106000e+00,1.50000000e+00,1.30923331e+00,-1.46874950e-01,1.00831917e+00,8.10143373e-01
  211,3.32499000e+00,8.12551000e+00,1.90025000e+00,-1.75000000e+00,6.15114641e+00,2.09083682e+00,-2.13462038e-01,-5.77926948e+00
  211,3.47497000e+00,-7.09739000e+00,-4.50046000e+00,2.00000000e+00,5.85854244e+00,-1.06855178e+00,-4.93255518e-01,5.73741562e+00
  211,3.52378000e+00,4.11587000e+00,7.35571000e+00,2.50000000e+00,1.97481203e+00,1.21776646e-01,4.23760661e-01,1.91989586e+00
  211,3.53450000e+00,8.40812000e+00,4.85752000e-01,3.75000000e+00,2.33881550e+01,1.32939527e+00,1.63128144e-01,2.33493560e+01
  211,3.59308000e+00,-8.30604000e-01,8.40357000e+00,-1.75000000e+00,1.63577938e+00,-1.34215036e-01,8.10988459e-01,-1.40733033e+00
  211,3.57588000e+00,6.07213000e+00,-5.87414000e+00,3.25000000e+00,7.82761383e+00,5.06624785e-01,-2.40594613e-01,7.80624783e+00
  211,3.62596000e+00,-4.68551000e+00,-7.05854000e+00,1.50000000e+00,4.35132122e+00,-3.65398432e-01,-6.92651239e-01,4.27799404e+00
  211,3.62596000e+00,4.68551000e+00,7.05854000e+00,2.50000000e-01,2.22224641e+00,-2.85840242e-01,1.87352727e+00,1.15199408e+00
  211,3.67424000e+00,-4.90563000e+00,6.93551000e+00,-3.75000000e+00,1.47778692e+01,3.91673797e-02,6.44481141e-01,-1.47630974e+01
  211,3.67499000e+00,2.70030000e+00,-8.05342000e+00,-7.50000000e-01,1.50744760e+00,4.99872988e-01,-7.52479064e-01,-1.19867459e+00
  211,3.72376000e+00,7.76117000e+00,3.50968000e+00,3.75000000e+00,9.44845867e+00,1.64574415e-01,1.08919158e-01,9.44536620e+00
  211,3.77400000e+00,-6.33378000e+00,-5.72689000e+00,-3.75000000e+00,6.56881809e+00,-4.76764806e-01,-2.10944957e-01,-6.54660916e+00
  211,3.82500000e+00,-8.56249000e+00,-9.99624000e-02,1.00000000e+00,1.28693676e+00,-7.64422910e-01,-1.31388448e-01,1.01740896e+00
  211,3.82498000e+00,-3.30031000e+00,-7.90377000e+00,-1.00000000e+00,3.42948854e-01,8.58441846e-02,-2.90177929e-01,-8.10042144e-02
