101
81
T [GeV]		muB [GeV]		c3_T4 [fm^3/GeV * GeV^4]
0.196000		0.010000		-0.017071
0.197000		0.010000		-0.016553
0.198000		0.010000		-0.016056
0.199000		0.010000		-0.015578
0.200000		0.010000		-0.015118
0.100000		0.020000		-2.862060
0.101000		0.020000		-2.606222
0.102000		0.020000		-2.377029
0.103000		0.020000		-2.171340
0.104000		0.020000		-1.986424
0.105000		0.020000		-1.819905
0.106000		0.020000		-1.669705
0.107000		0.020000		-1.534011
0.108000		0.020000		-1.411231
0.109000		0.020000		-1.299969
0.110000		0.020000		-1.198996
0.111000		0.020000		-1.107230
0.112000		0.020000		-1.023715
0.113000		0.020000		-0.947607
0.114000		0.020000		-0.878156
0.115000		0.020000		-0.814700
0.116000		0.020000		-0.756647
0.117000		0.020000		-0.703473
0.118000		0.020000		-0.654709
0.119000		0.020000		-0.609938
0.120000		0.020000		-0.568786
0.121000		0.020000		-0.530918
0.122000		0.020000		-0.496035
0.123000		0.020000		-0.463867
0.124000		0.020000		-0.434172
0.125000		0.020000		-0.406733
0.126000		0.020000		-0.381352
0.127000		0.020000		-0.357854
0.128000		0.020000		-0.336077
0.129000		0.020000		-0.315878
0.130000		0.020000		-0.297124
0.131000		0.020000		-0.279697
0.132000		0.020000		-0.263490
0.133000		0.020000		-0.248403
0.134000		0.020000		-0.234349
0.135000		0.020000		-0.221245
0.136000		0.020000		-0.209018
0.137000		0.020000		-0.197601
0.138000		0.020000		-0.186930
0.139000		0.020000		-0.176951
0.140000		0.020000		-0.167612
0.141000		0.020000		-0.158864
0.142000		0.020000		-0.150666
0.143000		0.020000		-0.142976
0.144000		0.020000		-0.135760
0.145000		0.020000		-0.128982
0.146000		0.020000		-0.122613
0.147000		0.020000		-0.116624
0.148000		0.020000		-0.110988
0.149000		0.020000		-0.105682
0.150000		0.020000		-0.100682
0.151000		0.020000		-0.095970
0.152000		0.020000		-0.091525
0.153000		0.020000		-0.087330
0.154000		0.020000		-0.083369
0.155000		0.020000		-0.079626
0.156000		0.020000		-0.076088
0.157000		0.020000		-0.072741
0.158000		0.020000		-0.069574
0.159000		0.020000		-0.066576
0.160000		0.020000		-0.063735
0.161000		0.020000		-0.061043
0.162000		0.020000		-0.058490
0.163000		0.020000		-0.056068
0.164000		0.020000		-0.053769
0.165000		0.020000		-0.051585
0.166000		0.020000		-0.049511
0.167000		0.020000		-0.047540
0.168000		0.020000		-0.045665
0.169000		0.020000		-0.043881
0.170000		0.020000		-0.042184
0.171000		0.020000		-0.040567
0.172000		0.020000		-0.039028
0.173000		0.020000		-0.037560
0.174000		0.020000		-0.036161
0.175000		0.020000		-0.034827
0.176000		0.020000		-0.033554
0.177000		0.020000		-0.032339
0.178000		0.020000		-0.031179
0.179000		0.020000		-0.030070
0.180000		0.020000		-0.029011
0.181000		0.020000		-0.027998
0.182000		0.020000		-0.027030
0.183000		0.020000		-0.026104
0.184000		0.020000		-0.025217
0.185000		0.020000		-0.024368
0.186000		0.020000		-0.023555
0.187000		0.020000		-0.022777
0.188000		0.020000		-0.022030
0.189000		0.020000		-0.021315
0.190000		0.020000		-0.020629
0.191000		0.020000		-0.019970
0.192000		0.020000		-0.019339
0.193000		0.020000		-0.018733
0.194000		0.020000		-0.018150
0.195000		0.020000		-0.017591
0.196000		0.020000		-0.017054
0.197000		0.020000		-0.016537
0.198000		0.020000		-0.016041
