100
100
T [fm^-1]		muB [fm^-1]		F_dfce [fm^-1]
0.815152		0.027475		-0.294581
0.817576		0.027475		-0.296242
0.820000		0.027475		-0.297908
0.580000		0.054949		-0.160430
0.582424		0.054949		-0.161509
0.584848		0.054949		-0.162594
0.587273		0.054949		-0.163687
0.589697		0.054949		-0.164787
0.592121		0.054949		-0.165894
0.594545		0.054949		-0.167007
0.596970		0.054949		-0.168128
0.599394		0.054949		-0.169256
0.601818		0.054949		-0.170391
0.604242		0.054949		-0.171533
0.606667		0.054949		-0.172682
0.609091		0.054949		-0.173838
0.611515		0.054949		-0.175001
0.613939		0.054949		-0.176170
0.616364		0.054949		-0.177347
0.618788		0.054949		-0.178530
0.621212		0.054949		-0.179721
0.623636		0.054949		-0.180918
0.626061		0.054949		-0.182122
0.628485		0.054949		-0.183332
0.630909		0.054949		-0.184549
0.633333		0.054949		-0.185773
0.635758		0.054949		-0.187004
0.638182		0.054949		-0.188241
0.640606		0.054949		-0.189485
0.643030		0.054949		-0.190736
0.645455		0.054949		-0.191993
0.647879		0.054949		-0.193257
0.650303		0.054949		-0.194527
0.652727		0.054949		-0.195804
0.655152		0.054949		-0.197087
0.657576		0.054949		-0.198376
0.660000		0.054949		-0.199672
0.662424		0.054949		-0.200975
0.664848		0.054949		-0.202283
0.667273		0.054949		-0.203598
0.669697		0.054949		-0.204920
0.672121		0.054949		-0.206247
0.674545		0.054949		-0.207581
0.676970		0.054949		-0.208921
0.679394		0.054949		-0.210268
0.681818		0.054949		-0.211620
0.684242		0.054949		-0.212979
0.686667		0.054949		-0.214344
0.689091		0.054949		-0.215714
0.691515		0.054949		-0.217091
0.693939		0.054949		-0.218474
0.696364		0.054949		-0.219863
0.698788		0.054949		-0.221258
0.701212		0.054949		-0.222659
0.703636		0.054949		-0.224066
0.706061		0.054949		-0.225479
0.708485		0.054949		-0.226897
0.710909		0.054949		-0.228322
0.713333		0.054949		-0.229752
0.715758		0.054949		-0.231188
0.718182		0.054949		-0.232630
0.720606		0.054949		-0.234078
0.723030		0.054949		-0.235531
0.725455		0.054949		-0.236991
0.727879		0.054949		-0.238455
0.730303		0.054949		-0.239926
0.732727		0.054949		-0.241402
0.735152		0.054949		-0.242884
0.737576		0.054949		-0.244372
0.740000		0.054949		-0.245865
0.742424		0.054949		-0.247363
0.744848		0.054949		-0.248867
0.747273		0.054949		-0.250377
0.749697		0.054949		-0.251892
0.752121		0.054949		-0.253413
0.754545		0.054949		-0.254939
0.756970		0.054949		-0.256471
0.759394		0.054949		-0.258008
0.761818		0.054949		-0.259550
0.764242		0.054949		-0.261098
