100
100
T [fm^-1]		muB [fm^-1]		betabulk_dfce [fm^-4]
0.754545		0.027475		-0.709362
0.756970		0.027475		-0.734513
0.759394		0.027475		-0.760448
0.761818		0.027475		-0.787188
0.764242		0.027475		-0.814754
0.766667		0.027475		-0.843169
0.769091		0.027475		-0.872455
0.771515		0.027475		-0.902635
0.773939		0.027475		-0.933731
0.776364		0.027475		-0.965769
0.778788		0.027475		-0.998772
0.781212		0.027475		-1.032765
0.783636		0.027475		-1.067775
0.786061		0.027475		-1.103826
0.788485		0.027475		-1.140945
0.790909		0.027475		-1.179160
0.793333		0.027475		-1.218498
0.795758		0.027475		-1.258988
0.798182		0.027475		-1.300657
0.800606		0.027475		-1.343536
0.803030		0.027475		-1.387655
0.805455		0.027475		-1.433044
0.807879		0.027475		-1.479733
0.810303		0.027475		-1.527756
0.812727		0.027475		-1.577144
0.815152		0.027475		-1.627931
0.817576		0.027475		-1.680150
0.820000		0.027475		-1.733836
0.580000		0.054949		-0.035877
0.582424		0.054949		-0.037723
0.584848		0.054949		-0.039649
0.587273		0.054949		-0.041661
0.589697		0.054949		-0.043759
0.592121		0.054949		-0.045948
0.594545		0.054949		-0.048232
0.596970		0.054949		-0.050613
0.599394		0.054949		-0.053095
0.601818		0.054949		-0.055682
0.604242		0.054949		-0.058378
0.606667		0.054949		-0.061187
0.609091		0.054949		-0.064112
0.611515		0.054949		-0.067158
0.613939		0.054949		-0.070330
0.616364		0.054949		-0.073632
0.618788		0.054949		-0.077068
0.621212		0.054949		-0.080644
0.623636		0.054949		-0.084363
0.626061		0.054949		-0.088232
0.628485		0.054949		-0.092255
0.630909		0.054949		-0.096437
0.633333		0.054949		-0.100785
0.635758		0.054949		-0.105304
0.638182		0.054949		-0.109999
0.640606		0.054949		-0.114877
0.643030		0.054949		-0.119944
0.645455		0.054949		-0.125205
0.647879		0.054949		-0.130669
0.650303		0.054949		-0.136341
0.652727		0.054949		-0.142229
0.655152		0.054949		-0.148339
0.657576		0.054949		-0.154678
0.660000		0.054949		-0.161255
0.662424		0.054949		-0.168077
0.664848		0.054949		-0.175152
0.667273		0.054949		-0.182488
0.669697		0.054949		-0.190093
0.672121		0.054949		-0.197977
0.674545		0.054949		-0.206147
0.676970		0.054949		-0.214613
0.679394		0.054949		-0.223384
0.681818		0.054949		-0.232470
0.684242		0.054949		-0.241880
0.686667		0.054949		-0.251625
0.689091		0.054949		-0.261715
0.691515		0.054949		-0.272161
0.693939		0.054949		-0.282973
0.696364		0.054949		-0.294162
0.698788		0.054949		-0.305740
0.701212		0.054949		-0.317719
0.703636		0.054949		-0.330111
0.706061		0.054949		-0.342928
0.708485		0.054949		-0.356182
0.710909		0.054949		-0.369887
0.713333		0.054949		-0.384055
