101
81
T [GeV]		muB [GeV]		c2_T4 [fm^3/GeV^3 * GeV^4]
0.100000		0.000000		-0.086310
0.101000		0.000000		-0.081482
0.102000		0.000000		-0.076972
0.103000		0.000000		-0.072755
0.104000		0.000000		-0.068810
0.105000		0.000000		-0.065117
0.106000		0.000000		-0.061657
0.107000		0.000000		-0.058414
0.108000		0.000000		-0.055372
0.109000		0.000000		-0.052517
0.110000		0.000000		-0.049835
0.111000		0.000000		-0.047315
0.112000		0.000000		-0.044946
0.113000		0.000000		-0.042717
0.114000		0.000000		-0.040618
0.115000		0.000000		-0.038642
0.116000		0.000000		-0.036779
0.117000		0.000000		-0.035023
0.118000		0.000000		-0.033366
0.119000		0.000000		-0.031801
0.120000		0.000000		-0.030324
0.121000		0.000000		-0.028928
0.122000		0.000000		-0.027608
0.123000		0.000000		-0.026360
0.124000		0.000000		-0.025178
0.125000		0.000000		-0.024060
0.126000		0.000000		-0.023000
0.127000		0.000000		-0.021996
0.128000		0.000000		-0.021044
0.129000		0.000000		-0.020141
0.130000		0.000000		-0.019284
0.131000		0.000000		-0.018470
0.132000		0.000000		-0.017698
0.133000		0.000000		-0.016963
0.134000		0.000000		-0.016265
0.135000		0.000000		-0.015601
0.136000		0.000000		-0.014970
0.137000		0.000000		-0.014369
0.138000		0.000000		-0.013796
0.139000		0.000000		-0.013251
0.140000		0.000000		-0.012731
0.141000		0.000000		-0.012236
0.142000		0.000000		-0.011764
0.143000		0.000000		-0.011314
0.144000		0.000000		-0.010884
0.145000		0.000000		-0.010474
0.146000		0.000000		-0.010082
0.147000		0.000000		-0.009708
0.148000		0.000000		-0.009350
0.149000		0.000000		-0.009008
0.150000		0.000000		-0.008681
0.151000		0.000000		-0.008369
0.152000		0.000000		-0.008070
0.153000		0.000000		-0.007783
0.154000		0.000000		-0.007509
0.155000		0.000000		-0.007247
0.156000		0.000000		-0.006995
0.157000		0.000000		-0.006755
0.158000		0.000000		-0.006524
0.159000		0.000000		-0.006302
0.160000		0.000000		-0.006090
0.161000		0.000000		-0.005886
0.162000		0.000000		-0.005691
0.163000		0.000000		-0.005503
0.164000		0.000000		-0.005323
0.165000		0.000000		-0.005151
0.166000		0.000000		-0.004984
0.167000		0.000000		-0.004825
0.168000		0.000000		-0.004672
0.169000		0.000000		-0.004524
0.170000		0.000000		-0.004383
0.171000		0.000000		-0.004246
0.172000		0.000000		-0.004115
0.173000		0.000000		-0.003989
0.174000		0.000000		-0.003868
0.175000		0.000000		-0.003751
0.176000		0.000000		-0.003638
0.177000		0.000000		-0.003530
0.178000		0.000000		-0.003426
0.179000		0.000000		-0.003325
0.180000		0.000000		-0.003228
0.181000		0.000000		-0.003135
0.182000		0.000000		-0.003045
0.183000		0.000000		-0.002958
0.184000		0.000000		-0.002874
0.185000		0.000000		-0.002793
0.186000		0.000000		-0.002715
0.187000		0.000000		-0.002640
0.188000		0.000000		-0.002567
0.189000		0.000000		-0.002497
0.190000		0.000000		-0.002430
0.191000		0.000000		-0.002364
0.192000		0.000000		-0.002301
0.193000		0.000000		-0.002240
0.194000		0.000000		-0.002181
0.195000		0.000000		-0.002124
0.196000		0.000000		-0.002069
0.197000		0.000000		-0.002015
0.198000		0.000000		-0.001964
0.199000		0.000000		-0.001914
0.200000		0.000000		-0.001865
0.100000		0.010000		-0.086370
0.101000		0.010000		-0.081538
0.102000		0.010000		-0.077024
0.103000		0.010000		-0.072804
0.104000		0.010000		-0.068856
0.105000		0.010000		-0.065160
0.106000		0.010000		-0.061697
0.107000		0.010000		-0.058451
0.108000		0.010000		-0.055406
0.109000		0.010000		-0.052549
0.110000		0.010000		-0.049865
0.111000		0.010000		-0.047343
0.112000		0.010000		-0.044972
0.113000		0.010000		-0.042741
0.114000		0.010000		-0.040641
0.115000		0.010000		-0.038663
0.116000		0.010000		-0.036798
0.117000		0.010000		-0.035040
0.118000		0.010000		-0.033382
0.119000		0.010000		-0.031817
0.120000		0.010000		-0.030338
0.121000		0.010000		-0.028941
0.122000		0.010000		-0.027620
0.123000		0.010000		-0.026371
0.124000		0.010000		-0.025189
0.125000		0.010000		-0.024069
0.126000		0.010000		-0.023009
0.127000		0.010000		-0.022004
0.128000		0.010000		-0.021051
0.129000		0.010000		-0.020148
0.130000		0.010000		-0.019290
0.131000		0.010000		-0.018476
0.132000		0.010000		-0.017702
0.133000		0.010000		-0.016968
0.134000		0.010000		-0.016269
0.135000		0.010000		-0.015605
0.136000		0.010000		-0.014973
0.137000		0.010000		-0.014371
0.138000		0.010000		-0.013799
0.139000		0.010000		-0.013253
0.140000		0.010000		-0.012734
0.141000		0.010000		-0.012238
0.142000		0.010000		-0.011766
0.143000		0.010000		-0.011315
0.144000		0.010000		-0.010885
0.145000		0.010000		-0.010475
0.146000		0.010000		-0.010083
0.147000		0.010000		-0.009708
0.148000		0.010000		-0.009350
0.149000		0.010000		-0.009009
0.150000		0.010000		-0.008682
0.151000		0.010000		-0.008369
0.152000		0.010000		-0.008070
0.153000		0.010000		-0.007783
0.154000		0.010000		-0.007509
0.155000		0.010000		-0.007247
0.156000		0.010000		-0.006995
0.157000		0.010000		-0.006754
0.158000		0.010000		-0.006523
0.159000		0.010000		-0.006302
0.160000		0.010000		-0.006090
0.161000		0.010000		-0.005886
0.162000		0.010000		-0.005691
0.163000		0.010000		-0.005503
0.164000		0.010000		-0.005323
0.165000		0.010000		-0.005150
0.166000		0.010000		-0.004984
0.167000		0.010000		-0.004824
0.168000		0.010000		-0.004671
0.169000		0.010000		-0.004524
0.170000		0.010000		-0.004382
0.171000		0.010000		-0.004246
0.172000		0.010000		-0.004115
0.173000		0.010000		-0.003988
0.174000		0.010000		-0.003867
0.175000		0.010000		-0.003750
0.176000		0.010000		-0.003638
0.177000		0.010000		-0.003529
0.178000		0.010000		-0.003425
0.179000		0.010000		-0.003324
0.180000		0.010000		-0.003227
0.181000		0.010000		-0.003134
0.182000		0.010000		-0.003044
0.183000		0.010000		-0.002957
0.184000		0.010000		-0.002873
0.185000		0.010000		-0.002793
0.186000		0.010000		-0.002715
0.187000		0.010000		-0.002639
0.188000		0.010000		-0.002567
0.189000		0.010000		-0.002497
0.190000		0.010000		-0.002429
0.191000		0.010000		-0.002363
0.192000		0.010000		-0.002300
0.193000		0.010000		-0.002239
0.194000		0.010000		-0.002180
0.195000		0.010000		-0.002123
0.196000		0.010000		-0.002068
0.197000		0.010000		-0.002015
0.198000		0.010000		-0.001963
0.199000		0.010000		-0.001913
0.200000		0.010000		-0.001865
0.100000		0.020000		-0.086547
0.101000		0.020000		-0.081704
0.102000		0.020000		-0.077179
0.103000		0.020000		-0.072949
0.104000		0.020000		-0.068991
0.105000		0.020000		-0.065286
0.106000		0.020000		-0.061815
0.107000		0.020000		-0.058561
0.108000		0.020000		-0.055509
0.109000		0.020000		-0.052644
0.110000		0.020000		-0.049954
0.111000		0.020000		-0.047426
0.112000		0.020000		-0.045049
0.113000		0.020000		-0.042812
0.114000		0.020000		-0.040707
0.115000		0.020000		-0.038724
0.116000		0.020000		-0.036855
0.117000		0.020000		-0.035093
0.118000		0.020000		-0.033431
0.119000		0.020000		-0.031862
0.120000		0.020000		-0.030380
0.121000		0.020000		-0.028979
0.122000		0.020000		-0.027655
0.123000		0.020000		-0.026403
0.124000		0.020000		-0.025218
0.125000		0.020000		-0.024097
0.126000		0.020000		-0.023034
0.127000		0.020000		-0.022027
0.128000		0.020000		-0.021072
0.129000		0.020000		-0.020167
0.130000		0.020000		-0.019308
0.131000		0.020000		-0.018492
0.132000		0.020000		-0.017717
0.133000		0.020000		-0.016981
0.134000		0.020000		-0.016281
0.135000		0.020000		-0.015616
0.136000		0.020000		-0.014983
0.137000		0.020000		-0.014380
0.138000		0.020000		-0.013807
0.139000		0.020000		-0.013260
0.140000		0.020000		-0.012740
0.141000		0.020000		-0.012243
0.142000		0.020000		-0.011770
0.143000		0.020000		-0.011319
0.144000		0.020000		-0.010889
0.145000		0.020000		-0.010478
0.146000		0.020000		-0.010085
0.147000		0.020000		-0.009710
0.148000		0.020000		-0.009352
0.149000		0.020000		-0.009010
0.150000		0.020000		-0.008683
0.151000		0.020000		-0.008369
0.152000		0.020000		-0.008070
0.153000		0.020000		-0.007783
0.154000		0.020000		-0.007509
0.155000		0.020000		-0.007246
0.156000		0.020000		-0.006995
0.157000		0.020000		-0.006754
0.158000		0.020000		-0.006522
0.159000		0.020000		-0.006301
0.160000		0.020000		-0.006088
0.161000		0.020000		-0.005885
0.162000		0.020000		-0.005689
0.163000		0.020000		-0.005502
0.164000		0.020000		-0.005321
0.165000		0.020000		-0.005148
0.166000		0.020000		-0.004982
0.167000		0.020000		-0.004823
0.168000		0.020000		-0.004669
0.169000		0.020000		-0.004522
0.170000		0.020000		-0.004380
0.171000		0.020000		-0.004244
0.172000		0.020000		-0.004113
0.173000		0.020000		-0.003987
0.174000		0.020000		-0.003865
0.175000		0.020000		-0.003748
0.176000		0.020000		-0.003636
0.177000		0.020000		-0.003527
0.178000		0.020000		-0.003423
0.179000		0.020000		-0.003323
0.180000		0.020000		-0.003226
0.181000		0.020000		-0.003132
0.182000		0.020000		-0.003042
0.183000		0.020000		-0.002955
0.184000		0.020000		-0.002872
0.185000		0.020000		-0.002791
0.186000		0.020000		-0.002713
0.187000		0.020000		-0.002638
0.188000		0.020000		-0.002565
0.189000		0.020000		-0.002495
0.190000		0.020000		-0.002427
0.191000		0.020000		-0.002362
0.192000		0.020000		-0.002299
0.193000		0.020000		-0.002238
0.194000		0.020000		-0.002179
0.195000		0.020000		-0.002122
0.196000		0.020000		-0.002066
0.197000		0.020000		-0.002013
0.198000		0.020000		-0.001962
0.199000		0.020000		-0.001912
0.200000		0.020000		-0.001863
0.100000		0.030000		-0.086832
0.101000		0.030000		-0.081971
0.102000		0.030000		-0.077430
0.103000		0.030000		-0.073183
0.104000		0.030000		-0.069210
0.105000		0.030000		-0.065491
0.106000		0.030000		-0.062006
0.107000		0.030000		-0.058739
0.108000		0.030000		-0.055675
0.109000		0.030000		-0.052799
0.110000		0.030000		-0.050098
0.111000		0.030000		-0.047560
