101
81
T [GeV]		muB [GeV]		betaV_over_T3 [fm^-3 / GeV^3]
0.108000		0.020000		0.056677
0.109000		0.020000		0.061833
0.110000		0.020000		0.067367
0.111000		0.020000		0.073301
0.112000		0.020000		0.079655
0.113000		0.020000		0.086453
0.114000		0.020000		0.093718
0.115000		0.020000		0.101473
0.116000		0.020000		0.109743
0.117000		0.020000		0.118554
0.118000		0.020000		0.127932
0.119000		0.020000		0.137906
0.120000		0.020000		0.148501
0.121000		0.020000		0.159748
0.122000		0.020000		0.171677
0.123000		0.020000		0.184317
0.124000		0.020000		0.197700
0.125000		0.020000		0.211859
0.126000		0.020000		0.226826
0.127000		0.020000		0.242636
0.128000		0.020000		0.259324
0.129000		0.020000		0.276925
0.130000		0.020000		0.295476
0.131000		0.020000		0.315014
0.132000		0.020000		0.335579
0.133000		0.020000		0.357208
0.134000		0.020000		0.379943
0.135000		0.020000		0.403824
0.136000		0.020000		0.428893
0.137000		0.020000		0.455194
0.138000		0.020000		0.482769
0.139000		0.020000		0.511664
0.140000		0.020000		0.541923
0.141000		0.020000		0.573594
0.142000		0.020000		0.606722
0.143000		0.020000		0.641358
0.144000		0.020000		0.677548
0.145000		0.020000		0.715343
0.146000		0.020000		0.754794
0.147000		0.020000		0.795952
0.148000		0.020000		0.838869
0.149000		0.020000		0.883599
0.150000		0.020000		0.930195
0.151000		0.020000		0.978711
0.152000		0.020000		1.029204
0.153000		0.020000		1.081730
0.154000		0.020000		1.136346
0.155000		0.020000		1.193109
0.156000		0.020000		1.252078
0.157000		0.020000		1.313312
0.158000		0.020000		1.376872
0.159000		0.020000		1.442819
0.160000		0.020000		1.511213
0.161000		0.020000		1.582116
0.162000		0.020000		1.655593
0.163000		0.020000		1.731705
0.164000		0.020000		1.810517
0.165000		0.020000		1.892094
0.166000		0.020000		1.976501
0.167000		0.020000		2.063804
0.168000		0.020000		2.154070
0.169000		0.020000		2.247365
0.170000		0.020000		2.343758
0.171000		0.020000		2.443315
0.172000		0.020000		2.546107
0.173000		0.020000		2.652201
0.174000		0.020000		2.761668
0.175000		0.020000		2.874577
0.176000		0.020000		2.991000
0.177000		0.020000		3.111006
0.178000		0.020000		3.234667
0.179000		0.020000		3.362055
0.180000		0.020000		3.493241
0.181000		0.020000		3.628299
0.182000		0.020000		3.767300
0.183000		0.020000		3.910317
0.184000		0.020000		4.057424
0.185000		0.020000		4.208695
0.186000		0.020000		4.364202
0.187000		0.020000		4.524019
0.188000		0.020000		4.688222
0.189000		0.020000		4.856883
0.190000		0.020000		5.030078
0.191000		0.020000		5.207881
0.192000		0.020000		5.390366
0.193000		0.020000		5.577608
0.194000		0.020000		5.769683
0.195000		0.020000		5.966664
0.196000		0.020000		6.168628
0.197000		0.020000		6.375648
0.198000		0.020000		6.587799
0.199000		0.020000		6.805158
0.200000		0.020000		7.027797
0.100000		0.030000		0.027410
0.101000		0.030000		0.030256
0.102000		0.030000		0.033341
0.103000		0.030000		0.036681
0.104000		0.030000		0.040292
0.105000		0.030000		0.044191
0.106000		0.030000		0.048394
0.107000		0.030000		0.052921
0.108000		0.030000		0.057789
0.109000		0.030000		0.063019
0.110000		0.030000		0.068630
0.111000		0.030000		0.074643
0.112000		0.030000		0.081080
0.113000		0.030000		0.087964
0.114000		0.030000		0.095317
0.115000		0.030000		0.103164
0.116000		0.030000		0.111530
0.117000		0.030000		0.120440
0.118000		0.030000		0.129920
0.119000		0.030000		0.139998
0.120000		0.030000		0.150701
0.121000		0.030000		0.162060
0.122000		0.030000		0.174102
0.123000		0.030000		0.186859
0.124000		0.030000		0.200363
0.125000		0.030000		0.214645
0.126000		0.030000		0.229738
0.127000		0.030000		0.245677
0.128000		0.030000		0.262496
0.129000		0.030000		0.280231
0.130000		0.030000		0.298919
0.131000		0.030000		0.318597
0.132000		0.030000		0.339303
0.133000		0.030000		0.361076
0.134000		0.030000		0.383957
0.135000		0.030000		0.407987
0.136000		0.030000		0.433207
0.137000		0.030000		0.459661
0.138000		0.030000		0.487391
0.139000		0.030000		0.516442
0.140000		0.030000		0.546860
0.141000		0.030000		0.578690
0.142000		0.030000		0.611981
0.143000		0.030000		0.646779
0.144000		0.030000		0.683134
0.145000		0.030000		0.721095
0.146000		0.030000		0.760712
0.147000		0.030000		0.802038
0.148000		0.030000		0.845124
0.149000		0.030000		0.890023
0.150000		0.030000		0.936789
0.151000		0.030000		0.985476
0.152000		0.030000		1.036140
0.153000		0.030000		1.088838
0.154000		0.030000		1.143625
0.155000		0.030000		1.200561
0.156000		0.030000		1.259702
0.157000		0.030000		1.321109
0.158000		0.030000		1.384842
0.159000		0.030000		1.450960
0.160000		0.030000		1.519526
0.161000		0.030000		1.590601
0.162000		0.030000		1.664248
0.163000		0.030000		1.740531
0.164000		0.030000		1.819513
0.165000		0.030000		1.901259
0.166000		0.030000		1.985834
0.167000		0.030000		2.073305
0.168000		0.030000		2.163737
0.169000		0.030000		2.257197
0.170000		0.030000		2.353754
0.171000		0.030000		2.453474
0.172000		0.030000		2.556428
0.173000		0.030000		2.662682
0.174000		0.030000		2.772308
0.175000		0.030000		2.885375
0.176000		0.030000		3.001953
0.177000		0.030000		3.122114
0.178000		0.030000		3.245928
0.179000		0.030000		3.373467
0.180000		0.030000		3.504802
0.181000		0.030000		3.640007
0.182000		0.030000		3.779154
0.183000		0.030000		3.922315
0.184000		0.030000		4.069564
0.185000		0.030000		4.220973
0.186000		0.030000		4.376618
0.187000		0.030000		4.536571
0.188000		0.030000		4.700907
0.189000		0.030000		4.869699
0.190000		0.030000		5.043023
0.191000		0.030000		5.220952
0.192000		0.030000		5.403562
0.193000		0.030000		5.590926
0.194000		0.030000		5.783121
0.195000		0.030000		5.980220
0.196000		0.030000		6.182298
0.197000		0.030000		6.389431
0.198000		0.030000		6.601693
0.199000		0.030000		6.819159
0.200000		0.030000		7.041904
0.100000		0.040000		0.028303
0.101000		0.040000		0.031219
0.102000		0.040000		0.034379
0.103000		0.040000		0.037797
0.104000		0.040000		0.041490
0.105000		0.040000		0.045475
0.106000		0.040000		0.049768
0.107000		0.040000		0.054389
0.108000		0.040000		0.059356
0.109000		0.040000		0.064688
0.110000		0.040000		0.070406
0.111000		0.040000		0.076531
0.112000		0.040000		0.083084
0.113000		0.040000		0.090088
0.114000		0.040000		0.097566
0.115000		0.040000		0.105543
0.116000		0.040000		0.114042
0.117000		0.040000		0.123089
0.118000		0.040000		0.132712
0.119000		0.040000		0.142936
0.120000		0.040000		0.153790
0.121000		0.040000		0.165304
0.122000		0.040000		0.177505
0.123000		0.040000		0.190426
0.124000		0.040000		0.204097
0.125000		0.040000		0.218550
0.126000		0.040000		0.233819
0.127000		0.040000		0.249937
0.128000		0.040000		0.266939
0.129000		0.040000		0.284861
0.130000		0.040000		0.303739
0.131000		0.040000		0.323610
0.132000		0.040000		0.344513
0.133000		0.040000		0.366487
0.134000		0.040000		0.389571
0.135000		0.040000		0.413807
0.136000		0.040000		0.439237
0.137000		0.040000		0.465902
0.138000		0.040000		0.493846
0.139000		0.040000		0.523114
0.140000		0.040000		0.553751
0.141000		0.040000		0.585802
0.142000		0.040000		0.619316
0.143000		0.040000		0.654339
0.144000		0.040000		0.690920
0.145000		0.040000		0.729110
0.146000		0.040000		0.768957
0.147000		0.040000		0.810513
0.148000		0.040000		0.853831
0.149000		0.040000		0.898963
0.150000		0.040000		0.945962
0.151000		0.040000		0.994884
0.152000		0.040000		1.045783
0.153000		0.040000		1.098715
0.154000		0.040000		1.153738
0.155000		0.040000		1.210909
0.156000		0.040000		1.270285
0.157000		0.040000		1.331927
0.158000		0.040000		1.395894
0.159000		0.040000		1.462246
0.160000		0.040000		1.531045
0.161000		0.040000		1.602352
0.162000		0.040000		1.676231
0.163000		0.040000		1.752743
0.164000		0.040000		1.831954
0.165000		0.040000		1.913928
0.166000		0.040000		1.998730
0.167000		0.040000		2.086425
0.168000		0.040000		2.177080
0.169000		0.040000		2.270761
0.170000		0.040000		2.367537
0.171000		0.040000		2.467474
0.172000		0.040000		2.570642
0.173000		0.040000		2.677109
0.174000		0.040000		2.786945
0.175000		0.040000		2.900219
0.176000		0.040000		3.017002
0.177000		0.040000		3.137365
0.178000		0.040000		3.261378
0.179000		0.040000		3.389113
0.180000		0.040000		3.520643
0.181000		0.040000		3.656038
0.182000		0.040000		3.795372
0.183000		0.040000		3.938717
0.184000		0.040000		4.086146
0.185000		0.040000		4.237734
0.186000		0.040000		4.393552
0.187000		0.040000		4.553676
0.188000		0.040000		4.718178
0.189000		0.040000		4.887134
0.190000		0.040000		5.060617
0.191000		0.040000		5.238702
0.192000		0.040000		5.421464
0.193000		0.040000		5.608977
0.194000		0.040000		5.801315
0.195000		0.040000		5.998554
0.196000		0.040000		6.200769
0.197000		0.040000		6.408034
0.198000		0.040000		6.620424
0.199000		0.040000		6.838014
0.200000		0.040000		7.060879
0.100000		0.050000		0.029465
0.101000		0.050000		0.032472
0.102000		0.050000		0.035727
0.103000		0.050000		0.039246
0.104000		0.050000		0.043045
0.105000		0.050000		0.047141
0.106000		0.050000		0.051551
0.107000		0.050000		0.056294
0.108000		0.050000		0.061388
0.109000		0.050000		0.066853
0.110000		0.050000		0.072709
0.111000		0.050000		0.078977
0.112000		0.050000		0.085680
0.113000		0.050000		0.092838
0.114000		0.050000		0.100477
0.115000		0.050000		0.108619
0.116000		0.050000		0.117290
0.117000		0.050000		0.126514
0.118000		0.050000		0.136320
0.119000		0.050000		0.146732
0.120000		0.050000		0.157780
0.121000		0.050000		0.169492
0.122000		0.050000		0.181898
0.123000		0.050000		0.195029
0.124000		0.050000		0.208914
0.125000		0.050000		0.223587
0.126000		0.050000		0.239081
0.127000		0.050000		0.255428
0.128000		0.050000		0.272665
0.129000		0.050000		0.290825
0.130000		0.050000		0.309947
0.131000		0.050000		0.330066
0.132000		0.050000		0.351220
0.133000		0.050000		0.373450
0.134000		0.050000		0.396794
0.135000		0.050000		0.421293
0.136000		0.050000		0.446989
0.137000		0.050000		0.473924
0.138000		0.050000		0.502142
0.139000		0.050000		0.531686
0.140000		0.050000		0.562602
0.141000		0.050000		0.594935
0.142000		0.050000		0.628733
0.143000		0.050000		0.664042
0.144000		0.050000		0.700911
0.145000		0.050000		0.739391
0.146000		0.050000		0.779529
0.147000		0.050000		0.821379
0.148000		0.050000		0.864991
0.149000		0.050000		0.910418
0.150000		0.050000		0.957713
0.151000		0.050000		1.006932
0.152000		0.050000		1.058128
0.153000		0.050000		1.111358
0.154000		0.050000		1.166678
0.155000		0.050000		1.224146
0.156000		0.050000		1.283819
0.157000		0.050000		1.345758
0.158000		0.050000		1.410020
0.159000		0.050000		1.476667
0.160000		0.050000		1.545759
0.161000		0.050000		1.617359
0.162000		0.050000		1.691528
0.163000		0.050000		1.768331
0.164000		0.050000		1.847829
0.165000		0.050000		1.930088
0.166000		0.050000		2.015173
0.167000		0.050000		2.103149
0.168000		0.050000		2.194082
0.169000		0.050000		2.288040
0.170000		0.050000		2.385088
0.171000		0.050000		2.485296
0.172000		0.050000		2.588731
0.173000		0.050000		2.695462
0.174000		0.050000		2.805558
0.175000		0.050000		2.919089
0.176000		0.050000		3.036125
0.177000		0.050000		3.156737
0.178000		0.050000		3.280996
0.179000		0.050000		3.408973
0.180000		0.050000		3.540740
0.181000		0.050000		3.676368
0.182000		0.050000		3.815931
0.183000		0.050000		3.959500
0.184000		0.050000		4.107149
0.185000		0.050000		4.258952
0.186000		0.050000		4.414980
0.187000		0.050000		4.575309
0.188000		0.050000		4.740012
0.189000		0.050000		4.909163
0.190000		0.050000		5.082836
0.191000		0.050000		5.261107
0.192000		0.050000		5.444048
0.193000		0.050000		5.631735
0.194000		0.050000		5.824242
0.195000		0.050000		6.021645
0.196000		0.050000		6.224017
