101
81
T [GeV]		muB [GeV]		c0_T4 [fm^3/GeV^3 * GeV^4]
0.196000		0.010000		-0.016584
0.197000		0.010000		-0.016141
0.198000		0.010000		-0.015713
0.199000		0.010000		-0.015298
0.200000		0.010000		-0.014897
0.100000		0.020000		-0.546927
0.101000		0.020000		-0.519947
0.102000		0.020000		-0.494578
0.103000		0.020000		-0.470706
0.104000		0.020000		-0.448226
0.105000		0.020000		-0.427041
0.106000		0.020000		-0.407062
0.107000		0.020000		-0.388206
0.108000		0.020000		-0.370399
0.109000		0.020000		-0.353571
0.110000		0.020000		-0.337657
0.111000		0.020000		-0.322597
0.112000		0.020000		-0.308339
0.113000		0.020000		-0.294830
0.114000		0.020000		-0.282023
0.115000		0.020000		-0.269876
0.116000		0.020000		-0.258347
0.117000		0.020000		-0.247400
0.118000		0.020000		-0.237000
0.119000		0.020000		-0.227113
0.120000		0.020000		-0.217711
0.121000		0.020000		-0.208765
0.122000		0.020000		-0.200249
0.123000		0.020000		-0.192138
0.124000		0.020000		-0.184411
0.125000		0.020000		-0.177045
0.126000		0.020000		-0.170021
0.127000		0.020000		-0.163321
0.128000		0.020000		-0.156926
0.129000		0.020000		-0.150821
0.130000		0.020000		-0.144991
0.131000		0.020000		-0.139421
0.132000		0.020000		-0.134097
0.133000		0.020000		-0.129008
0.134000		0.020000		-0.124141
0.135000		0.020000		-0.119485
0.136000		0.020000		-0.115030
0.137000		0.020000		-0.110765
0.138000		0.020000		-0.106681
0.139000		0.020000		-0.102771
0.140000		0.020000		-0.099024
0.141000		0.020000		-0.095434
0.142000		0.020000		-0.091993
0.143000		0.020000		-0.088694
0.144000		0.020000		-0.085530
0.145000		0.020000		-0.082496
0.146000		0.020000		-0.079584
0.147000		0.020000		-0.076791
0.148000		0.020000		-0.074109
0.149000		0.020000		-0.071535
0.150000		0.020000		-0.069063
0.151000		0.020000		-0.066689
0.152000		0.020000		-0.064408
0.153000		0.020000		-0.062217
0.154000		0.020000		-0.060112
0.155000		0.020000		-0.058088
0.156000		0.020000		-0.056143
0.157000		0.020000		-0.054272
0.158000		0.020000		-0.052473
0.159000		0.020000		-0.050743
0.160000		0.020000		-0.049078
0.161000		0.020000		-0.047477
0.162000		0.020000		-0.045936
0.163000		0.020000		-0.044453
0.164000		0.020000		-0.043025
0.165000		0.020000		-0.041650
0.166000		0.020000		-0.040326
0.167000		0.020000		-0.039051
0.168000		0.020000		-0.037823
0.169000		0.020000		-0.036640
0.170000		0.020000		-0.035500
0.171000		0.020000		-0.034401
0.172000		0.020000		-0.033343
0.173000		0.020000		-0.032322
0.174000		0.020000		-0.031338
0.175000		0.020000		-0.030389
0.176000		0.020000		-0.029474
0.177000		0.020000		-0.028591
0.178000		0.020000		-0.027739
0.179000		0.020000		-0.026918
0.180000		0.020000		-0.026125
0.181000		0.020000		-0.025359
0.182000		0.020000		-0.024621
0.183000		0.020000		-0.023908
0.184000		0.020000		-0.023219
0.185000		0.020000		-0.022554
0.186000		0.020000		-0.021912
0.187000		0.020000		-0.021292
0.188000		0.020000		-0.020692
0.189000		0.020000		-0.020113
0.190000		0.020000		-0.019554
0.191000		0.020000		-0.019013
0.192000		0.020000		-0.018490
0.193000		0.020000		-0.017984
0.194000		0.020000		-0.017495
0.195000		0.020000		-0.017023
0.196000		0.020000		-0.016565
0.197000		0.020000		-0.016123
0.198000		0.020000		-0.015695
0.199000		0.020000		-0.015281
0.200000		0.020000		-0.014880
0.100000		0.030000		-0.548095
0.101000		0.030000		-0.521033
0.102000		0.030000		-0.495587
0.103000		0.030000		-0.471642
0.104000		0.030000		-0.449093
0.105000		0.030000		-0.427843
0.106000		0.030000		-0.407802
0.107000		0.030000		-0.388889
0.108000		0.030000		-0.371027
0.109000		0.030000		-0.354148
0.110000		0.030000		-0.338185
0.111000		0.030000		-0.323081
0.112000		0.030000		-0.308780
0.113000		0.030000		-0.295232
0.114000		0.030000		-0.282388
0.115000		0.030000		-0.270206
0.116000		0.030000		-0.258646
0.117000		0.030000		-0.247668
0.118000		0.030000		-0.237240
0.119000		0.030000		-0.227327
0.120000		0.030000		-0.217901
0.121000		0.030000		-0.208932
0.122000		0.030000		-0.200395
0.123000		0.030000		-0.192265
0.124000		0.030000		-0.184520
0.125000		0.030000		-0.177138
0.126000		0.030000		-0.170098
0.127000		0.030000		-0.163384
0.128000		0.030000		-0.156976
0.129000		0.030000		-0.150860
0.130000		0.030000		-0.145018
0.131000		0.030000		-0.139438
0.132000		0.030000		-0.134106
0.133000		0.030000		-0.129008
0.134000		0.030000		-0.124133
0.135000		0.030000		-0.119470
0.136000		0.030000		-0.115009
0.137000		0.030000		-0.110738
0.138000		0.030000		-0.106650
0.139000		0.030000		-0.102734
0.140000		0.030000		-0.098984
0.141000		0.030000		-0.095390
0.142000		0.030000		-0.091946
0.143000		0.030000		-0.088644
0.144000		0.030000		-0.085477
0.145000		0.030000		-0.082441
0.146000		0.030000		-0.079528
0.147000		0.030000		-0.076732
0.148000		0.030000		-0.074050
0.149000		0.030000		-0.071474
0.150000		0.030000		-0.069001
0.151000		0.030000		-0.066627
0.152000		0.030000		-0.064346
0.153000		0.030000		-0.062154
0.154000		0.030000		-0.060049
0.155000		0.030000		-0.058025
0.156000		0.030000		-0.056080
0.157000		0.030000		-0.054209
0.158000		0.030000		-0.052411
0.159000		0.030000		-0.050681
0.160000		0.030000		-0.049017
0.161000		0.030000		-0.047416
0.162000		0.030000		-0.045876
0.163000		0.030000		-0.044393
0.164000		0.030000		-0.042966
0.165000		0.030000		-0.041592
0.166000		0.030000		-0.040269
0.167000		0.030000		-0.038995
0.168000		0.030000		-0.037768
0.169000		0.030000		-0.036585
0.170000		0.030000		-0.035446
0.171000		0.030000		-0.034349
0.172000		0.030000		-0.033291
0.173000		0.030000		-0.032271
0.174000		0.030000		-0.031288
0.175000		0.030000		-0.030340
0.176000		0.030000		-0.029426
0.177000		0.030000		-0.028544
0.178000		0.030000		-0.027693
0.179000		0.030000		-0.026873
0.180000		0.030000		-0.026081
0.181000		0.030000		-0.025316
0.182000		0.030000		-0.024579
0.183000		0.030000		-0.023867
0.184000		0.030000		-0.023179
0.185000		0.030000		-0.022515
0.186000		0.030000		-0.021874
0.187000		0.030000		-0.021254
0.188000		0.030000		-0.020656
0.189000		0.030000		-0.020077
0.190000		0.030000		-0.019519
0.191000		0.030000		-0.018979
0.192000		0.030000		-0.018457
0.193000		0.030000		-0.017952
0.194000		0.030000		-0.017464
0.195000		0.030000		-0.016992
0.196000		0.030000		-0.016535
0.197000		0.030000		-0.016094
0.198000		0.030000		-0.015666
0.199000		0.030000		-0.015253
0.200000		0.030000		-0.014853
0.100000		0.040000		-0.549644
0.101000		0.040000		-0.522474
0.102000		0.040000		-0.496925
0.103000		0.040000		-0.472884
0.104000		0.040000		-0.450244
0.105000		0.040000		-0.428907
0.106000		0.040000		-0.408785
0.107000		0.040000		-0.389794
0.108000		0.040000		-0.371860
0.109000		0.040000		-0.354912
0.110000		0.040000		-0.338886
0.111000		0.040000		-0.323722
0.112000		0.040000		-0.309365
0.113000		0.040000		-0.295763
0.114000		0.040000		-0.282871
0.115000		0.040000		-0.270642
0.116000		0.040000		-0.259038
0.117000		0.040000		-0.248021
0.118000		0.040000		-0.237555
0.119000		0.040000		-0.227607
0.120000		0.040000		-0.218148
0.121000		0.040000		-0.209150
0.122000		0.040000		-0.200585
0.123000		0.040000		-0.192429
0.124000		0.040000		-0.184659
0.125000		0.040000		-0.177255
0.126000		0.040000		-0.170195
0.127000		0.040000		-0.163462
0.128000		0.040000		-0.157037
0.129000		0.040000		-0.150904
0.130000		0.040000		-0.145048
0.131000		0.040000		-0.139455
0.132000		0.040000		-0.134110
0.133000		0.040000		-0.129001
0.134000		0.040000		-0.124116
0.135000		0.040000		-0.119444
0.136000		0.040000		-0.114974
0.137000		0.040000		-0.110696
0.138000		0.040000		-0.106601
0.139000		0.040000		-0.102679
0.140000		0.040000		-0.098923
0.141000		0.040000		-0.095325
0.142000		0.040000		-0.091876
0.143000		0.040000		-0.088571
0.144000		0.040000		-0.085401
0.145000		0.040000		-0.082362
0.146000		0.040000		-0.079446
0.147000		0.040000		-0.076649
0.148000		0.040000		-0.073965
0.149000		0.040000		-0.071388
0.150000		0.040000		-0.068914
0.151000		0.040000		-0.066539
0.152000		0.040000		-0.064257
0.153000		0.040000		-0.062065
0.154000		0.040000		-0.059960
0.155000		0.040000		-0.057936
0.156000		0.040000		-0.055991
0.157000		0.040000		-0.054121
0.158000		0.040000		-0.052323
0.159000		0.040000		-0.050594
0.160000		0.040000		-0.048931
0.161000		0.040000		-0.047330
0.162000		0.040000		-0.045791
0.163000		0.040000		-0.044309
0.164000		0.040000		-0.042883
0.165000		0.040000		-0.041510
0.166000		0.040000		-0.040189
0.167000		0.040000		-0.038916
0.168000		0.040000		-0.037690
0.169000		0.040000		-0.036509
0.170000		0.040000		-0.035371
0.171000		0.040000		-0.034275
0.172000		0.040000		-0.033218
0.173000		0.040000		-0.032200
0.174000		0.040000		-0.031218
0.175000		0.040000		-0.030272
0.176000		0.040000		-0.029359
0.177000		0.040000		-0.028479
0.178000		0.040000		-0.027629
0.179000		0.040000		-0.026810
0.180000		0.040000		-0.026019
0.181000		0.040000		-0.025257
0.182000		0.040000		-0.024520
0.183000		0.040000		-0.023809
0.184000		0.040000		-0.023123
0.185000		0.040000		-0.022460
0.186000		0.040000		-0.021820
0.187000		0.040000		-0.021202
0.188000		0.040000		-0.020605
0.189000		0.040000		-0.020028
0.190000		0.040000		-0.019470
0.191000		0.040000		-0.018931
0.192000		0.040000		-0.018410
0.193000		0.040000		-0.017907
0.194000		0.040000		-0.017420
0.195000		0.040000		-0.016949
0.196000		0.040000		-0.016493
0.197000		0.040000		-0.016053
0.198000		0.040000		-0.015627
0.199000		0.040000		-0.015214
0.200000		0.040000		-0.014815
0.100000		0.050000		-0.551494
0.101000		0.050000		-0.524195
0.102000		0.050000		-0.498526
0.103000		0.050000		-0.474369
0.104000		0.050000		-0.451619
0.105000		0.050000		-0.430179
0.106000		0.050000		-0.409959
0.107000		0.050000		-0.390877
0.108000		0.050000		-0.372855
0.109000		0.050000		-0.355826
0.110000		0.050000		-0.339722
0.111000		0.050000		-0.324486
0.112000		0.050000		-0.310061
0.113000		0.050000		-0.296395
0.114000		0.050000		-0.283443
0.115000		0.050000		-0.271159
0.116000		0.050000		-0.259503
0.117000		0.050000		-0.248436
0.118000		0.050000		-0.237925
0.119000		0.050000		-0.227935
0.120000		0.050000		-0.218437
0.121000		0.050000		-0.209401
0.122000		0.050000		-0.200802
0.123000		0.050000		-0.192615
0.124000		0.050000		-0.184817
0.125000		0.050000		-0.177385
0.126000		0.050000		-0.170301
0.127000		0.050000		-0.163544
0.128000		0.050000		-0.157099
0.129000		0.050000		-0.150947
0.130000		0.050000		-0.145073
0.131000		0.050000		-0.139463
0.132000		0.050000		-0.134104
0.133000		0.050000		-0.128981
0.134000		0.050000		-0.124084
0.135000		0.050000		-0.119401
0.136000		0.050000		-0.114921
0.137000		0.050000		-0.110634
0.138000		0.050000		-0.106531
0.139000		0.050000		-0.102602
0.140000		0.050000		-0.098839
0.141000		0.050000		-0.095235
0.142000		0.050000		-0.091782
0.143000		0.050000		-0.088472
0.144000		0.050000		-0.085299
0.145000		0.050000		-0.082256
0.146000		0.050000		-0.079338
0.147000		0.050000		-0.076538
0.148000		0.050000		-0.073852
0.149000		0.050000		-0.071274
0.150000		0.050000		-0.068799
0.151000		0.050000		-0.066423
0.152000		0.050000		-0.064141
0.153000		0.050000		-0.061949
0.154000		0.050000		-0.059843
0.155000		0.050000		-0.057820
0.156000		0.050000		-0.055875
0.157000		0.050000		-0.054006
0.158000		0.050000		-0.052208
0.159000		0.050000		-0.050480
0.160000		0.050000		-0.048818
0.161000		0.050000		-0.047219
0.162000		0.050000		-0.045681
0.163000		0.050000		-0.044201
0.164000		0.050000		-0.042776
0.165000		0.050000		-0.041405
0.166000		0.050000		-0.040085
0.167000		0.050000		-0.038814
0.168000		0.050000		-0.037590
0.169000		0.050000		-0.036411
